West Coast Groundfish Slope/Shelf Bottom Trawl Survey data,,,,,,,,,,,,,,,
Age Composition Estimates,,,,,,,,,,,,,,,
sablefish,,,,,,,,,,,,,,,
Extracted: 5/5/2015,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Species Code,Species,Year,Project,INPFC Area,Min Depth (m),Max Depth (m),Length (cm),Age,Female Numbers,Male Numbers,Unsexed Numbers,Lengthed Age Tally: Full Stratum,Age Tally: Female,Age Tally: Male,Age Tally: Unsexed
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,47,3,0,26727,0,41,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,48,3,0,53119,0,41,0,2,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,49,3,21692,0,0,41,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,50,3,57154,26727,0,41,2,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,52,3,26727,82133,0,41,1,3,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,53,3,58216,0,0,41,2,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,55,3,109776,0,0,41,2,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,56,3,21692,0,0,41,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,63,3,30428,0,0,41,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,47,4,0,26727,0,41,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,50,4,0,23905,0,41,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,51,4,0,23492,0,41,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,52,4,0,54765,0,41,0,2,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,55,4,0,25528,0,41,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,57,4,23492,0,0,41,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,53,5,21278,0,0,41,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,62,5,30428,0,0,41,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,54,6,0,21278,0,41,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,56,6,0,23492,0,41,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,71,6,26727,0,0,41,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,51,7,0,30428,0,41,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,54,8,0,26727,0,41,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,50,9,0,21278,0,41,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,52,9,0,22691,0,41,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,51,10,0,21278,0,41,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,54,12,21278,0,0,41,1,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,53,15,0,21278,0,41,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,57,20,0,21278,0,41,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,65,20,0,30755,0,41,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,57,24,0,21278,0,41,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,65,24,0,28039,0,41,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,64,33,0,21278,0,41,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,46,2,0,23778,0,75,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,45,3,0,26204,0,75,0,1,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,47,3,52632,51115,0,75,2,2,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,48,3,26378,74988,0,75,1,2,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,49,3,0,58106,0,75,0,2,0
