West Coast Groundfish Slope/Shelf Bottom Trawl Survey data,,,,,,,,,,,
Age Composition Length- and Sex-based Tow Tallies,,,,,,,,,,,
sablefish,,,,,,,,,,,
Extracted: 5/5/2015,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Species Code,Species,Year,Project,INPFC Area,Min Depth (m),Max Depth (m),Length (cm),Number of Tows (Female),Number of Tows (Male),Number of Tows (Unsexed),Number of Tows (w/o respect to sex)
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,20,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,22,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,24,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,26,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,28,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,30,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,32,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,34,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,36,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,38,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,40,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,42,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,44,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,46,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,48,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,50,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,52,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,54,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,56,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,58,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,60,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,62,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,64,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,66,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,68,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,70,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,72,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,74,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,76,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,78,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,54.864,182.88,80,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,54.864,182.88,20,0,0,0,0
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,54.864,182.88,22,0,0,0,0
