West Coast Groundfish Slope/Shelf Bottom Trawl Survey data,,,,,,,,,,,
Age Composition Length- and Sex-based Tow Tallies,,,,,,,,,,,
sablefish,,,,,,,,,,,
Extracted: 5/5/2015,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Species Code,Species,Year,Project,INPFC Area,Min Depth (m),Max Depth (m),Length (cm),Number of Tows (Female),Number of Tows (Male),Number of Tows (Unsexed),Number of Tows (w/o respect to sex)
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,47,0,1,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,48,0,2,0,2
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,49,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,50,2,3,0,4
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,51,0,3,0,3
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,52,1,5,0,5
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,53,3,1,0,3
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,54,1,2,0,2
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,55,2,1,0,2
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,56,1,1,0,2
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,57,1,1,0,2
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,62,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,63,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,64,0,1,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,65,0,2,0,2
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,71,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,45,0,1,0,1
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,46,0,1,0,1
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,47,3,3,0,4
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,48,1,3,0,4
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,49,1,2,0,3
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,50,2,4,0,6
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,51,1,2,0,3
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,52,3,2,0,5
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,53,3,3,0,6
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,54,2,1,0,2
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,55,2,2,0,4
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,56,2,1,0,3
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,57,2,1,0,3
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,58,2,1,0,3
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,59,1,1,0,2
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,60,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,61,0,1,0,1
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,62,3,0,0,3
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,65,3,0,0,3
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,66,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,68,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,69,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,73,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,42,1,1,0,2
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,43,2,3,0,4
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,44,2,1,0,2
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,45,1,3,0,4
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,46,3,1,0,4
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,47,2,6,0,7
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,48,2,2,0,4
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,49,1,1,0,2
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,50,1,3,0,3
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,51,3,0,0,3
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,52,2,2,0,2
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,53,0,1,0,1
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,54,1,1,0,2
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,55,2,0,0,2
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,57,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,59,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,60,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,64,2,0,0,2
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,69,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,70,0,1,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,45,0,1,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,47,0,1,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,49,0,3,0,3
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,50,0,1,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,51,0,3,0,3
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,52,0,5,0,5
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,53,2,3,0,4
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,54,2,3,0,4
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,55,0,3,0,3
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,56,0,2,0,2
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,57,0,1,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,58,0,4,0,4
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,59,1,2,0,3
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,60,0,1,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,61,2,0,0,2
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,63,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,64,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,66,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,69,0,1,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,70,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,74,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,76,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,77,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,82,1,0,0,1
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,44,0,1,0,1
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,47,0,1,0,1
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,48,3,1,0,4
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,49,0,1,0,1
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,50,1,6,0,7
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,51,1,3,0,3
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,52,1,6,0,7
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,53,2,6,0,8
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,54,2,5,0,6
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,55,0,4,0,4
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,56,5,5,0,8
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,57,3,5,0,6
