West Coast Groundfish Slope/Shelf Bottom Trawl Survey data,,,,,,,,,,
Age Composition Length- and Sex-based Tow Tallies,,,,,,,,,,
sablefish,,,,,,,,,,
Extracted: 5/5/2015,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Species Code,Species,Year,Project,INPFC Area,Min Depth (m),Max Depth (m),Number of Tows (Female),Number of Tows (Male),Number of Tows (Unsexed),Number of Tows (w/o respect to sex)
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,10,11,0,13
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,15,15,0,19
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,10,12,0,15
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,548.64,900,12,14,0,14
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,13,13,0,14
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,6,8,0,8
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,900,1280.16,11,12,0,14
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,900,1280.16,10,8,1,10
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,900,1280.16,7,7,0,8
20510,sablefish,1999,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,16,11,4,19
20510,sablefish,1999,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,15,15,1,19
20510,sablefish,1999,Groundfish Slope Survey,45To49Degs,182.88,548.64,11,13,0,14
20510,sablefish,1999,Groundfish Slope Survey,34Pt5To40Pt5Degs,548.64,900,7,11,1,11
20510,sablefish,1999,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,10,9,1,12
20510,sablefish,1999,Groundfish Slope Survey,45To49Degs,548.64,900,7,10,0,10
20510,sablefish,1999,Groundfish Slope Survey,34Pt5To40Pt5Degs,900,1280.16,9,10,0,11
20510,sablefish,1999,Groundfish Slope Survey,40Pt5To45Degs,900,1280.16,17,17,0,19
20510,sablefish,1999,Groundfish Slope Survey,45To49Degs,900,1280.16,11,8,0,12
20510,sablefish,2000,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,26,29,1,31
20510,sablefish,2000,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,24,22,0,26
20510,sablefish,2000,Groundfish Slope Survey,45To49Degs,182.88,548.64,11,11,0,13
20510,sablefish,2000,Groundfish Slope Survey,34Pt5To40Pt5Degs,548.64,900,11,14,0,16
20510,sablefish,2000,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,11,14,0,14
20510,sablefish,2000,Groundfish Slope Survey,45To49Degs,548.64,900,9,8,0,9
20510,sablefish,2000,Groundfish Slope Survey,34Pt5To40Pt5Degs,900,1280.16,11,10,0,11
20510,sablefish,2000,Groundfish Slope Survey,40Pt5To45Degs,900,1280.16,17,18,0,18
20510,sablefish,2000,Groundfish Slope Survey,45To49Degs,900,1280.16,9,9,0,12
20510,sablefish,2001,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,23,24,0,29
20510,sablefish,2001,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,18,24,0,25
20510,sablefish,2001,Groundfish Slope Survey,45To49Degs,182.88,548.64,8,14,0,15
