West Coast Groundfish Slope/Shelf Bottom Trawl Survey data,,,,,,,,,,,,,,,,,,,,,,,
Biomass/Abundance Estimates,,,,,,,,,,,,,,,,,,,,,,,
sablefish,,,,,,,,,,,,,,,,,,,,,,,
Extracted: 2/17/2015,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Species,Scientific Name,Species Code,Survey Year,Project,Computed Stratum Area Version,Area Set Identifier,Area Name,Southern Latitude (dd),Northern Latitude (dd),Depth Strata Set,Min Stratum Depth (m),Max Stratum Depth (m),Stratum Area (sq m),Biomass (kg),Abundance (Numbers),Cpue Weight Variance,Cpue Count Variance,Biomass Variance,Biomass CV,N (Stratum),N (Stratum Bio),N (Stratum Positive),N (Stratum Bio Positive)
sablefish,Anoplopoma fimbria,20510,1998,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,182.88,548.64,5828866862,2314977.9,1103085,1.48656E-07,4.428E-08,1.4855E+11,0.16649,34,34,27,27
sablefish,Anoplopoma fimbria,20510,1998,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,548.64,900,4023607871,3785728.58,1870795,6.42897E-07,1.42436E-07,9.46194E+11,0.256945,11,11,11,11
sablefish,Anoplopoma fimbria,20510,1998,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,900,1280.16,3954626654,2385624.46,904023,2.72532E-07,5.3855E-08,2.50715E+11,0.209888,18,17,16,15
sablefish,Anoplopoma fimbria,20510,1998,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,182.88,548.64,6210902689,3266170.44,2030046,3.95453E-07,5.88605E-07,2.63013E+11,0.157018,58,58,47,47
sablefish,Anoplopoma fimbria,20510,1998,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,548.64,900,5264062343,4297330.29,1688136,5.84774E-07,9.8625E-08,6.48171E+11,0.187347,26,25,26,25
sablefish,Anoplopoma fimbria,20510,1998,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,900,1280.16,5303944406,3880341.2,1201057,4.88744E-07,7.1955E-08,5.09232E+11,0.183903,27,27,25,25
sablefish,Anoplopoma fimbria,20510,1998,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,182.88,548.64,6951653513,1596818.55,1094214,1.44904E-07,1.46505E-07,1.32124E+11,0.227633,53,53,31,31
sablefish,Anoplopoma fimbria,20510,1998,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,548.64,900,7801299712,4800429.94,2785896,4.64035E-07,2.34657E-07,8.55798E+11,0.192711,33,33,32,32
sablefish,Anoplopoma fimbria,20510,1998,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,900,1280.16,8058579586,7557872.96,3205245,9.49727E-07,2.32331E-07,1.50429E+12,0.162281,41,41,39,39
sablefish,Anoplopoma fimbria,20510,1999,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,182.88,548.64,5828866862,2918177.91,1679730,2.05665E-07,9.6963E-08,1.88854E+11,0.148919,37,37,31,31
sablefish,Anoplopoma fimbria,20510,1999,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,548.64,900,4023607871,4211713.63,2044048,1.08999E-06,2.21772E-07,7.67232E+11,0.207972,24,23,24,23
sablefish,Anoplopoma fimbria,20510,1999,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,900,1280.16,3954626654,2401054.54,1067293,1.99651E-07,4.4293E-08,1.56118E+11,0.16456,20,20,19,19
sablefish,Anoplopoma fimbria,20510,1999,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,182.88,548.64,6210902689,4976538.81,2434630,1.10089E-06,2.01528E-07,8.01266E+11,0.179871,53,53,44,44
sablefish,Anoplopoma fimbria,20510,1999,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,548.64,900,5264062343,6630968.78,3691977,1.6007E-06,4.13006E-07,1.70599E+12,0.196975,26,26,25,25
sablefish,Anoplopoma fimbria,20510,1999,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,900,1280.16,5303944406,4760146.9,2094224,4.75632E-07,9.6767E-08,3.18581E+11,0.118574,43,42,42,41
sablefish,Anoplopoma fimbria,20510,1999,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,182.88,548.64,6951653513,8820831.01,5194041,4.40167E-05,1.37593E-05,3.6053E+13,0.680709,59,59,49,49
sablefish,Anoplopoma fimbria,20510,1999,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,548.64,900,7801299712,6508886.73,3588085,1.3178E-06,3.20508E-07,2.67339E+12,0.251203,30,30,30,30
