West Coast Groundfish Slope/Shelf Bottom Trawl Survey data,,,,,,,,,,,,,,
Length Composition Estimates,,,,,,,,,,,,,,
sablefish,,,,,,,,,,,,,,
Extracted: 2/17/2015,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Species Code,Scientific Name,Species,Survey Year,Project,Area Set Identifier,Area Name,Depth Strata Set,Minimum Stratum Depth (m),Maximum Stratum Depth (m),Length Category (cm),Number of Females,Number of Males,Number of Unsexed,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,45,0,0,10179,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,46,0,0,10856,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,47,0,16889,9482,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,48,9053,41124,7765,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,49,28696,20129,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,50,30527,64524,27033,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,51,0,56858,39752,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,52,18509,69364,46188,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,53,42488,8404,9305,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,54,36977,26913,47421,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,55,21174,10082,9305,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,56,8567,9278,33549,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,57,18331,35925,18610,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,58,8253,0,29747,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,59,10064,9053,31121,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,60,0,0,9305,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,61,0,10064,10856,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,62,22082,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,63,12017,8253,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,64,0,8404,17070,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,65,0,23221,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,67,0,0,20161,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,69,0,0,12405,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,70,0,0,9305,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,182.88,548.64,71,8445,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,44,0,19537,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,45,0,13965,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,47,0,13965,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,48,0,17814,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,49,0,91893,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,50,0,66591,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,51,0,70595,17188,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,52,0,178626,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,53,96720,184150,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,54,43043,162905,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,55,0,140331,17188,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,56,17054,67408,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,57,0,98362,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,58,13553,101422,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,59,30607,65795,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,60,0,17054,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,61,47981,31367,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,62,0,13553,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,63,30166,17814,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,64,19993,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,66,16394,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,67,0,13553,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,69,0,17814,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,70,30166,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,74,30607,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,76,17814,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,77,19993,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,548.64,900,82,17814,0,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,48,8128,9764,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,49,0,9764,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,50,0,34662,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,52,21636,34299,44574,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,53,0,16674,0,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,54,0,9402,17045,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,55,8128,17948,41527,
20510,Anoplopoma fimbria,sablefish,1998,Groundfish Slope Survey,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,55 183 549 900 1280 meter bounds,900,1280.16,56,9187,34185,50970,
