"year","fleet","state","catch"
1900,"HKL","CA",0.000000000000139184095375394
1901,"HKL","CA",0.607390070118886
1902,"HKL","CA",1.21478014023763
1903,"HKL","CA",1.82217021035638
1904,"HKL","CA",2.42956028047513
1905,"HKL","CA",3.03695035059401
1906,"HKL","CA",3.64434042071276
1907,"HKL","CA",4.25173049083151
1908,"HKL","CA",4.85912056095053
1909,"HKL","CA",5.4541149153526
1910,"HKL","CA",6.04910926975452
1911,"HKL","CA",6.64410362415658
1912,"HKL","CA",7.23909797855865
1913,"HKL","CA",7.83409233296071
1914,"HKL","CA",8.42908668736277
1915,"HKL","CA",9.0240810417647
1916,"HKL","CA",11.6095496762385
1917,"HKL","CA",126.31575445424
1918,"HKL","CA",69.2684295805392
1919,"HKL","CA",46.5017837682946
1920,"HKL","CA",108.432247141719
1921,"HKL","CA",141.975450534039
1922,"HKL","CA",37.2838932321558
1923,"HKL","CA",74.7321635712877
1924,"HKL","CA",129.573308878301
1925,"HKL","CA",100.302244283169
1926,"HKL","CA",24.384732959041
1927,"HKL","CA",137.812156037417
1928,"HKL","CA",127.302711256177
1929,"HKL","CA",199.835914525611
1930,"HKL","CA",188.693118087256
1931,"HKL","CA",141.773938639416
1932,"HKL","CA",128.589198132693
1933,"HKL","CA",184.994123666794
1934,"HKL","CA",293.428311680096
1935,"HKL","CA",394.454639896135
1936,"HKL","CA",141.749504204595
1937,"HKL","CA",101.827934558339
1938,"HKL","CA",104.122804181825
1939,"HKL","CA",106.408373448557
1940,"HKL","CA",79.4759327750816
1941,"HKL","CA",74.4913580511685
1942,"HKL","CA",273.952323397814
1943,"HKL","CA",444.803773977218
1944,"HKL","CA",571.486827966341
1945,"HKL","CA",869.685359125924
1946,"HKL","CA",368.853029045094
1947,"HKL","CA",125.238798409593
1948,"HKL","CA",280.430158626273
1949,"HKL","CA",228.192649511351
1950,"HKL","CA",254.807030201069
1951,"HKL","CA",399.949970665411
1952,"HKL","CA",259.390799671352
1953,"HKL","CA",223.419377115831
1954,"HKL","CA",314.987731202095
1955,"HKL","CA",279.065314959912
1956,"HKL","CA",390.017613090152
1957,"HKL","CA",296.702076130349
1958,"HKL","CA",234.939539798551
1959,"HKL","CA",263.215305175903
1960,"HKL","CA",309.415765159972
1961,"HKL","CA",216.981662951684
1962,"HKL","CA",270.515989433434
1963,"HKL","CA",236.258430067607
1964,"HKL","CA",335.858967362249
1965,"HKL","CA",390.684693985562
1966,"HKL","CA",436.744242250004
1967,"HKL","CA",523.245558171475
1968,"HKL","CA",441.416585158192
1969,"HKL","CA",692.378291504755
1970,"HKL","CA",566.044790632264
1971,"HKL","CA",513.503046309885
1972,"HKL","CA",1023.63414892331
1973,"HKL","CA",186.591475255811
1974,"HKL","CA",177.292750729405
1975,"HKL","CA",217.869817057764
1976,"HKL","CA",230.499438729371
1977,"HKL","CA",322.170450368936
1978,"HKL","CA",331.211432875322
1979,"HKL","CA",793.601881446242
1980,"HKL","CA",347.73530273572
1981,"HKL","CA",788.136988364757
1982,"HKL","CA",747.437304250276
1983,"HKL","CA",283.068621222533
1984,"HKL","CA",52.3922282386926
1985,"HKL","CA",451.085002411201
1986,"HKL","CA",800.473044846014
1987,"HKL","CA",846.123836329326
1988,"HKL","CA",406.34294885453
1989,"HKL","CA",391.795460658782
1990,"HKL","CA",660.73441178828
1991,"HKL","CA",815.192235906881
1992,"HKL","CA",810.190432941187
1993,"HKL","CA",460.669165250742
1994,"HKL","CA",583.972978002502
1995,"HKL","CA",881.589493361251
1996,"HKL","CA",1230.20500896228
1997,"HKL","CA",1191.15056483117
1998,"HKL","CA",467.424991550855
1999,"HKL","CA",650.693134114169
2000,"HKL","CA",730.398175815242
2001,"HKL","CA",607.545699478837
2002,"HKL","CA",511.449623646357
2003,"HKL","CA",556.026934649808
2004,"HKL","CA",439.625934889391
2005,"HKL","CA",549.781624129669
2006,"HKL","CA",505.841852784124
2007,"HKL","CA",427.184069621734
2008,"HKL","CA",546.936604204012
2009,"HKL","CA",1031.46897490633
2010,"HKL","CA",1375.81096202439
2011,"HKL","CA",1278.27643341499
2012,"HKL","CA",810.616952230091
2013,"HKL","CA",818.436254814618
2014,"HKL","CA",728.914032234567
1900,"POT","CA",0
1901,"POT","CA",0
1902,"POT","CA",0
1903,"POT","CA",0
1904,"POT","CA",0
1905,"POT","CA",0
1906,"POT","CA",0
1907,"POT","CA",0
1908,"POT","CA",0
1909,"POT","CA",0
1910,"POT","CA",0
1911,"POT","CA",0
1912,"POT","CA",0
1913,"POT","CA",0
1914,"POT","CA",0
1915,"POT","CA",0
1916,"POT","CA",0
1917,"POT","CA",0
1918,"POT","CA",0
1919,"POT","CA",0
1920,"POT","CA",0
1921,"POT","CA",0
1922,"POT","CA",0
1923,"POT","CA",0
1924,"POT","CA",0
1925,"POT","CA",0
1926,"POT","CA",0
1927,"POT","CA",0
1928,"POT","CA",0
1929,"POT","CA",0
1930,"POT","CA",0
1931,"POT","CA",0
1932,"POT","CA",0
1933,"POT","CA",0
1934,"POT","CA",0
1935,"POT","CA",0
1936,"POT","CA",0
1937,"POT","CA",0
1938,"POT","CA",0
1939,"POT","CA",0
1940,"POT","CA",0
1941,"POT","CA",0
1942,"POT","CA",0
1943,"POT","CA",0
1944,"POT","CA",0
1945,"POT","CA",0
1946,"POT","CA",0
1947,"POT","CA",0
1948,"POT","CA",0
1949,"POT","CA",0
1950,"POT","CA",0
1951,"POT","CA",0
1952,"POT","CA",0
1953,"POT","CA",0
1954,"POT","CA",0
1955,"POT","CA",0
1956,"POT","CA",0
1957,"POT","CA",0
1958,"POT","CA",0
1959,"POT","CA",0
1960,"POT","CA",0
1961,"POT","CA",0
1962,"POT","CA",0
1963,"POT","CA",0
1964,"POT","CA",0
1965,"POT","CA",0
1966,"POT","CA",0
1967,"POT","CA",0
1968,"POT","CA",0
1969,"POT","CA",0.422341286837566
1970,"POT","CA",0.110741403646929
1971,"POT","CA",60.8624189289193
1972,"POT","CA",272.914782933229
1973,"POT","CA",293.146960832666
1974,"POT","CA",2794.73699514978
1975,"POT","CA",3108.56511221692
1976,"POT","CA",2992.52341240776
1977,"POT","CA",3199.38062787943
1978,"POT","CA",5041.29923091186
1979,"POT","CA",7498.02670876285
1980,"POT","CA",1341.1804130846
1981,"POT","CA",2349.13496232713
1982,"POT","CA",3437.96760900703
1983,"POT","CA",3171.69576319769
1984,"POT","CA",1572.56208687622
1985,"POT","CA",1129.23709001507
1986,"POT","CA",1528.24738455171
1987,"POT","CA",391.878591763077
1988,"POT","CA",765.038087976809
1989,"POT","CA",1015.43790165616
1990,"POT","CA",799.751936826599
1991,"POT","CA",358.198869440777
1992,"POT","CA",397.631521122863
1993,"POT","CA",198.582315905169
1994,"POT","CA",185.910717781353
1995,"POT","CA",311.493010202434
1996,"POT","CA",204.82321827146
1997,"POT","CA",207.573286219024
1998,"POT","CA",57.6236809208801
1999,"POT","CA",113.71975024588
2000,"POT","CA",174.303762217773
2001,"POT","CA",163.277456306637
2002,"POT","CA",144.472263011017
2003,"POT","CA",214.916172894436
2004,"POT","CA",279.658145366888
2005,"POT","CA",342.023151730882
2006,"POT","CA",373.854798954253
2007,"POT","CA",298.258495506641
2008,"POT","CA",291.917872324234
2009,"POT","CA",429.63881687577
2010,"POT","CA",411.864153675029
2011,"POT","CA",757.023225624706
2012,"POT","CA",488.97414988159
2013,"POT","CA",226.076626877669
2014,"POT","CA",461.987258213689
1900,"TWL","CA",0.00000000000031556325551107
1901,"TWL","CA",1.37709691164683
1902,"TWL","CA",2.75419382329334
1903,"TWL","CA",4.13129073493985
1904,"TWL","CA",5.50838764658636
1905,"TWL","CA",6.88548455823319
1906,"TWL","CA",8.2625814698797
1907,"TWL","CA",9.63967838152621
1908,"TWL","CA",11.0167752931733
1909,"TWL","CA",12.3657681862149
1910,"TWL","CA",13.7147610792561
1911,"TWL","CA",15.0637539722976
1912,"TWL","CA",16.4127468653392
1913,"TWL","CA",17.7617397583807
1914,"TWL","CA",19.1107326514223
1915,"TWL","CA",20.4597255444635
1916,"TWL","CA",26.321594295457
1917,"TWL","CA",286.387683811205
1918,"TWL","CA",157.04790898428
1919,"TWL","CA",105.430539555664
1920,"TWL","CA",245.841544022211
1921,"TWL","CA",321.891917696026
1922,"TWL","CA",84.5314020595071
1923,"TWL","CA",169.435485888932
1924,"TWL","CA",293.773329967748
1925,"TWL","CA",227.408905131691
1926,"TWL","CA",55.285955601242
1927,"TWL","CA",312.452744624835
1928,"TWL","CA",288.625348255752
1929,"TWL","CA",453.075271177011
1930,"TWL","CA",427.811916839715
1931,"TWL","CA",321.435042581667
1932,"TWL","CA",291.542118205872
1933,"TWL","CA",419.425421828988
1934,"TWL","CA",665.271366266017
1935,"TWL","CA",894.321940889495
1936,"TWL","CA",321.379643940193
1937,"TWL","CA",230.868005748293
1938,"TWL","CA",236.071017826703
1939,"TWL","CA",241.252943797202
1940,"TWL","CA",180.190732379595
1941,"TWL","CA",168.889522834253
1942,"TWL","CA",621.114695562541
1943,"TWL","CA",1008.47533334384
1944,"TWL","CA",1295.6957720518
1945,"TWL","CA",1971.78235383788
1946,"TWL","CA",836.277035365683
1947,"TWL","CA",283.945969802327
1948,"TWL","CA",635.801479766179
1949,"TWL","CA",517.366694587352
1950,"TWL","CA",577.707788813719
1951,"TWL","CA",906.781155162403
1952,"TWL","CA",588.100278075178
1953,"TWL","CA",506.544557384759
1954,"TWL","CA",714.151668235445
