SPGRP,portgrp,GEAR,2009,2010,2011,2012,2013
Dover sole,Astoria and Tillamook,Fixed gear,0,0,-999,92,250
Dover sole,Astoria and Tillamook,Trawl,7203475,6514637,5637557,4777387,6287929
Dover sole,Brookings and Crescent City,Trawl,2782405.652,2104570.16,1656801.81,1495514,1807112
Dover sole,Coos Bay,Fixed gear,0,0,-999,-999,-999
Dover sole,Coos Bay,Trawl,3920686,4151023,2510754,2282098,1671881
Dover sole,Eureka,Trawl,3468709.995,3195464,-999,-999,-999
Dover sole,Fort Bragg,Trawl,1581267.981,1507410.757,1235388.888,971740.1175,1048927.479
Dover sole,Monterey and Morro Bay,Fixed gear,0,-999,-999,3907,1150
Dover sole,Monterey and Morro Bay,Trawl,69538.5013,-999,-999,1240703.756,355468.3289
Dover sole,Newport,Fixed gear,0,0,-999,-999,-999
Dover sole,Newport,Trawl,-999,-999,-999,-999,1649084
Dover sole,San Francisco and Bodega Bay,Fixed gear,0,0,-999,-999,-999
Dover sole,San Francisco and Bodega Bay,Trawl,549939.2467,599855.3434,348215,-999,-999
Dover sole,Washington,Fixed gear,0,0,503.001,-999,-999
Dover sole,Washington,Trawl,2194387.19,1823825.12,1248383.69,1374579.29,1086565.325
Flatfish,Astoria and Tillamook,Fixed gear,0,0,-999,-999,-999
Flatfish,Astoria and Tillamook,Trawl,6186435,4886688,4010997,3572271,3837590
Flatfish,Brookings and Crescent City,Trawl,231122.3481,135427.8404,246995.1904,118675,216813
Flatfish,Coos Bay,Fixed gear,0,0,-999,-999,0
Flatfish,Coos Bay,Trawl,788773,990980,484642,541749,-999
Flatfish,Eureka,Trawl,283434.2527,204843.0833,-999,245427,331309.9359
Flatfish,Fort Bragg,Trawl,68418.0191,24770.2434,63007.7474,101711.9385,139682.3877
Flatfish,Monterey and Morro Bay,Fixed gear,0,0,-999,-999,8
Flatfish,Monterey and Morro Bay,Trawl,54892.0387,-999,59542.0558,39871.4612,25731.5411
Flatfish,Newport,Fixed gear,0,0,-999,159,-999
Flatfish,Newport,Trawl,-999,-999,-999,233311,515655
Flatfish,San Francisco and Bodega Bay,Fixed gear,0,0,0,0,-999
Flatfish,San Francisco and Bodega Bay,Trawl,74038.2095,66521.4088,58682,42733,41068
Flatfish,Washington,Fixed gear,0,0,265,-999,-999
Flatfish,Washington,Trawl,2206501.41,1957483.209,1184799.69,1534180.26,552993.6406
Other groundfish,Astoria and Tillamook,Fixed gear,0,0,2678,414.5,-999
Other groundfish,Astoria and Tillamook,Trawl,190809,184722,837919,1314354,755344
Other groundfish,Brookings and Crescent City,Trawl,24984,21006,-999,39666,9824
Other groundfish,Coos Bay,Fixed gear,0,-999,-999,-999,0
Other groundfish,Coos Bay,Trawl,109161,103094,59244,67924,-999
Other groundfish,Eureka,Trawl,51696,67562,-999,42552,-999
Other groundfish,Fort Bragg,Fixed gear,0,0,-999,0,0
Other groundfish,Fort Bragg,Trawl,50374,50846,15146.292,23054.2,30161
Other groundfish,Monterey and Morro Bay,Fixed gear,0,922,-999,1450.7,297
Other groundfish,Monterey and Morro Bay,Trawl,52872,-999,-999,58833,71296
Other groundfish,Newport,Fixed gear,0,0,802,672.5,-999
Other groundfish,Newport,Trawl,21841,-999,8792,6728,7464
Other groundfish,San Francisco and Bodega Bay,Fixed gear,0,0,0,0,-999
Other groundfish,San Francisco and Bodega Bay,Trawl,4992,4544,-999,-999,-999
Other groundfish,Washington,Fixed gear,0,0,2325,3280,-999
Other groundfish,Washington,Trawl,118506,-999,233904,269188,216726
Pacific whiting,Astoria and Tillamook,Trawl,-999,4044,41106,31404,113001
Pacific whiting,Brookings and Crescent City,Trawl,0,0,-999,-999,-999
Pacific whiting,Coos Bay,Trawl,0,-999,-999,-999,-999
Pacific whiting,Eureka,Trawl,-999,-999,-999,-999,-999
Pacific whiting,Fort Bragg,Trawl,0,0,-999,-999,-999
Pacific whiting,Monterey and Morro Bay,Trawl,0,0,0,-999,-999
Pacific whiting,Newport,Trawl,0,-999,379,-999,158
Pacific whiting,San Francisco and Bodega Bay,Trawl,0,0,0,0,-999
Pacific whiting,Washington,Fixed gear,0,0,0,0,-999
Pacific whiting,Washington,Trawl,-999,-999,4228,-999,6180.9876
Petrale sole,Astoria and Tillamook,Fixed gear,0,0,-999,-999,-999
Petrale sole,Astoria and Tillamook,Trawl,-999,491193,695562,861149,1715533
Petrale sole,Brookings and Crescent City,Trawl,247358,101332,97414,53855,-999
Petrale sole,Coos Bay,Fixed gear,0,0,-999,0,0
Petrale sole,Coos Bay,Trawl,582653,304493,242577,364596,-999
Petrale sole,Eureka,Trawl,339583.7519,122074.3529,-999,173132,498861.2885
Petrale sole,Fort Bragg,Trawl,356211,124192,102614.8254,128351.944,220931.1335
Petrale sole,Monterey and Morro Bay,Fixed gear,0,0,0,-999,-999
Petrale sole,Monterey and Morro Bay,Trawl,116423.46,-999,79553.963,88728.9173,128551.13
Petrale sole,Newport,Fixed gear,0,0,0,-999,0
Petrale sole,Newport,Trawl,-999,-999,-999,200616,-999
Petrale sole,San Francisco and Bodega Bay,Fixed gear,0,0,-999,-999,0
Petrale sole,San Francisco and Bodega Bay,Trawl,203037.1974,127879.2683,39587,44239,106368
Petrale sole,Washington,Fixed gear,0,0,-999,-999,-999
Petrale sole,Washington,Trawl,340941,116612,239671,313386,521659.1277
Rockfish,Astoria and Tillamook,Fixed gear,0,0,1793,9158,6128
Rockfish,Astoria and Tillamook,Trawl,303111.96,373383.7524,940847.0069,1065522.012,852271.8759
