YEAR,GEAR,portgrp,TotRev,VarCostNetRev,TotCostNetRev
2009,Fixed gear,Monterey and Morro Bay,-999,-999,-999
2009,Trawl,Astoria and Tillamook,316768.0417,129200.625,38757.5
2009,Trawl,Brookings and Crescent City,268968.0833,84359,29524.83333
2009,Trawl,Coos Bay,238067.5294,79214,364.7647059
2009,Trawl,Eureka,360708.3,77140.4,-17196.8
2009,Trawl,Fort Bragg,379223.5714,168502.5714,88308.57143
2009,Trawl,Monterey and Morro Bay,235471.6667,88018.33333,-177784.6667
2009,Trawl,Newport,405622.6316,214090.8947,90515.47368
2009,Trawl,San Francisco and Bodega Bay,133892.1667,-16982,-73879
2009,Trawl,Washington,365054,90822.875,-45393.375
2010,Fixed gear,Monterey and Morro Bay,193926.6,114888.8,88327.4
2010,Trawl,Astoria and Tillamook,323681.4762,85978.66667,29460
2010,Trawl,Brookings and Crescent City,276650.3333,101470.2222,45539.33333
2010,Trawl,Coos Bay,265200.0556,116652.2222,42693.66667
2010,Trawl,Eureka,325734.8,36866.2,-51419.3
2010,Trawl,Fort Bragg,321552.5714,138668,85377.57143
2010,Trawl,Monterey and Morro Bay,-999,-999,-999
2010,Trawl,Newport,451193.125,191335.4375,33861.375
2010,Trawl,San Francisco and Bodega Bay,120660.5,36041.83333,8888
2010,Trawl,Washington,420830.375,84527.125,-289815.125
2011,Fixed gear,Astoria and Tillamook,-999,-999,-999
2011,Fixed gear,Coos Bay,-999,-999,-999
2011,Fixed gear,Fort Bragg,-999,-999,-999
2011,Fixed gear,Monterey and Morro Bay,216041,118798.4,-3591.9
2011,Fixed gear,Newport,482247.2,280928.6,187330
2011,Fixed gear,San Francisco and Bodega Bay,-999,-999,-999
2011,Fixed gear,Washington,478269.75,-268107.5,-693776
2011,Trawl,Astoria and Tillamook,550953.1765,194364.2941,114705.1765
2011,Trawl,Brookings and Crescent City,576518,205216.4286,126615.5714
2011,Trawl,Coos Bay,250553.1667,108517.8333,39337.16667
2011,Trawl,Eureka,421547.625,95008.75,20124.125
2011,Trawl,Fort Bragg,393877.3333,145440,85454
2011,Trawl,Monterey and Morro Bay,340187.6667,138992,24896.33333
2011,Trawl,Newport,750087.5556,351597.4444,147894.7778
2011,Trawl,San Francisco and Bodega Bay,143049.5,76455,54058.5
2011,Trawl,Washington,1155855.8,722372.2,498848.4
2012,Fixed gear,Astoria and Tillamook,387224.5,155724.25,75531.5
2012,Fixed gear,Coos Bay,-999,-999,-999
2012,Fixed gear,Fort Bragg,-999,-999,-999
2012,Fixed gear,Monterey and Morro Bay,119286.6667,23660.22222,-50670.88889
2012,Fixed gear,Newport,290281.5,132220.75,67383
2012,Fixed gear,San Francisco and Bodega Bay,-999,-999,-999
2012,Fixed gear,Washington,270799.25,-22793,-295026.25
2012,Trawl,Astoria and Tillamook,519515.7647,202014.8824,94534
2012,Trawl,Brookings and Crescent City,304845.6,62423,4608.2
2012,Trawl,Coos Bay,216079.6667,85322.33333,27961.75
2012,Trawl,Eureka,301358.5,62821.7,-19319.3
2012,Trawl,Fort Bragg,368934.2,132079,-220146.2
2012,Trawl,Monterey and Morro Bay,396301.3333,161035,105794.3333
2012,Trawl,Newport,413477.7143,62930,-130577.8571
2012,Trawl,San Francisco and Bodega Bay,155996.5,18200.5,-14162.25
2012,Trawl,Washington,1186150.5,450970.25,193260.25
2013,Fixed gear,Astoria and Tillamook,274371.3333,100488,40711.33333
2013,Fixed gear,Coos Bay,-999,-999,-999
2013,Fixed gear,Fort Bragg,-999,-999,-999
2013,Fixed gear,Monterey and Morro Bay,46936.85714,-17497.71429,-44930.71429
2013,Fixed gear,Newport,335515,156612.6667,110070.3333
2013,Fixed gear,San Francisco and Bodega Bay,-999,-999,-999
2013,Fixed gear,Washington,-999,-999,-999
2013,Trawl,Astoria and Tillamook,772408.5,228864.1429,120607.3571
2013,Trawl,Brookings and Crescent City,732872.8,433248.2,333514.6
2013,Trawl,Coos Bay,170547.1333,66836.33333,28563.33333
2013,Trawl,Eureka,349751.9,113943.8,60933.3
2013,Trawl,Fort Bragg,372173.1667,130212.3333,74396.83333
2013,Trawl,Monterey and Morro Bay,332434.6667,123022.6667,85326
2013,Trawl,Newport,659254.2857,374046.8571,283879
2013,Trawl,San Francisco and Bodega Bay,236585.75,97338.25,4969.75
2013,Trawl,Washington,931288,320772.75,130806.75
