SPGRP,portgrp,GEAR,2009,2010,2011,2012,2013
Dover sole,Astoria and Tillamook,Fixed gear,0,0,-999,43.08,121.9
Dover sole,Astoria and Tillamook,Trawl,2413223.506,2056368.852,2288759.51,2031074.331,2804914.01
Dover sole,Brookings and Crescent City,Trawl,943490.5378,644326.1227,687629.3299,645069.49,810795.28
Dover sole,Coos Bay,Fixed gear,0,0,-999,-999,-999
Dover sole,Coos Bay,Trawl,1169926.862,1189299.524,1030780.568,940326.4,774744.25
Dover sole,Eureka,Trawl,1280645.183,1026649.466,-999,-999,-999
Dover sole,Fort Bragg,Trawl,589103.4937,448777.0877,551888.5138,430962.7919,468726.8402
Dover sole,Monterey and Morro Bay,Fixed gear,0,-999,-999,6628.287,537.09
Dover sole,Monterey and Morro Bay,Trawl,24893.26384,-999,-999,406213.8799,142006.0616
Dover sole,Newport,Fixed gear,0,0,-999,-999,-999
Dover sole,Newport,Trawl,-999,-999,-999,-999,726835.02
Dover sole,San Francisco and Bodega Bay,Fixed gear,0,0,-999,-999,-999
Dover sole,San Francisco and Bodega Bay,Trawl,202556.9615,182073.8174,156681.8,-999,-999
Dover sole,Washington,Fixed gear,0,0,138.21,-999,-999
Dover sole,Washington,Trawl,677404.429,516058.74,420844.38,575781.18,436053.2258
Flatfish,Astoria and Tillamook,Fixed gear,0,0,-999,-999,-999
Flatfish,Astoria and Tillamook,Trawl,886864.178,705941.62,674777.56,737057.18,694045.03
Flatfish,Brookings and Crescent City,Trawl,73955.33917,36001.80733,54709.05213,30154.059,55207.864
Flatfish,Coos Bay,Fixed gear,0,0,-999,-999,0
Flatfish,Coos Bay,Trawl,174168.967,189988.881,119087.41,118216.45,-999
Flatfish,Eureka,Trawl,75297.14677,37994.26528,-999,53911.72,84111.62273
Flatfish,Fort Bragg,Trawl,24009.3663,8477.616341,17208.66152,19680.97734,27488.55425
Flatfish,Monterey and Morro Bay,Fixed gear,0,0,-999,-999,6.43
Flatfish,Monterey and Morro Bay,Trawl,30647.11221,-999,30963.16778,19608.63378,10334.81093
Flatfish,Newport,Fixed gear,0,0,-999,22.06,-999
Flatfish,Newport,Trawl,-999,-999,-999,34643.03,90640.77
Flatfish,San Francisco and Bodega Bay,Fixed gear,0,0,0,0,-999
Flatfish,San Francisco and Bodega Bay,Trawl,36726.5162,38657.085,53796.87,41017.13,40301.1
Flatfish,Washington,Fixed gear,0,0,101.81,-999,-999
Flatfish,Washington,Trawl,242044.152,210936.3996,135373.4,225331.28,83967.30438
Other groundfish,Astoria and Tillamook,Fixed gear,0,0,2566,358.2,-999
Other groundfish,Astoria and Tillamook,Trawl,98810.25,98078.51,520149.35,836909.65,482581.75
Other groundfish,Brookings and Crescent City,Trawl,8229.5,3446.3,-999,4684.101,1672.77
Other groundfish,Coos Bay,Fixed gear,0,-999,-999,-999,0
Other groundfish,Coos Bay,Trawl,24454.47,25674.15,10933.35,13881.25,-999
