YEAR,GEAR,portgrp,Crew,Fuel,Speed,Days,Number of vessels
2009,Fixed gear,Monterey and Morro Bay,-999,-999,#N/A,-999,-999
2009,Trawl,Astoria and Tillamook,1.916666667,266.7066667,2.445833333,93,24
2009,Trawl,Brookings and Crescent City,2.083333333,299.4166667,2.116666667,41.36363636,12
2009,Trawl,Coos Bay,2.117647059,248.2882353,2.117647059,56.17647059,17
2009,Trawl,Eureka,1.9,249.6,2.02,76.4,10
2009,Trawl,Fort Bragg,1.857142857,288.8571429,4.814285714,66.71428571,7
2009,Trawl,Monterey and Morro Bay,2,196,4.166666667,73,3
2009,Trawl,Newport,2.111111111,435.1764706,2.747058824,53.5625,19
2009,Trawl,San Francisco and Bodega Bay,2,270,2.533333333,65.16666667,6
2009,Trawl,Washington,2.3125,357.5,2.5375,71.25,8
2010,Fixed gear,Monterey and Morro Bay,1.2,68,#N/A,87.2,5
2010,Trawl,Astoria and Tillamook,1.880952381,245.067619,2.433333333,87.66666667,22
2010,Trawl,Brookings and Crescent City,2,301,2.0375,45.25,9
2010,Trawl,Coos Bay,2.166666667,270.8055556,2.166666667,51.61111111,18
2010,Trawl,Eureka,2,236.4,2.01,63.5,10
2010,Trawl,Fort Bragg,1.857142857,288.8571429,4.814285714,56.71428571,7
2010,Trawl,Monterey and Morro Bay,-999,-999,-999,-999,-999
2010,Trawl,Newport,2,385.8,2.733333333,43.5625,16
2010,Trawl,San Francisco and Bodega Bay,1.6,199.6666667,2.333333333,45.66666667,6
2010,Trawl,Washington,2.3125,478.125,2.64375,48,8
2011,Fixed gear,Astoria and Tillamook,-999,-999,#N/A,-999,-999
2011,Fixed gear,Coos Bay,-999,-999,#N/A,-999,-999
2011,Fixed gear,Fort Bragg,-999,-999,#N/A,-999,-999
2011,Fixed gear,Monterey and Morro Bay,2.15,120,#N/A,38.5,10
2011,Fixed gear,Newport,3.8,143.6,#N/A,46.4,5
2011,Fixed gear,San Francisco and Bodega Bay,-999,-999,#N/A,-999,-999
2011,Fixed gear,Washington,3.666666667,214,#N/A,71.66666667,4
2011,Trawl,Astoria and Tillamook,1.911764706,267.2352941,3.567647059,76.82352941,17
2011,Trawl,Brookings and Crescent City,2,382.5714286,2.257142857,29.85714286,7
2011,Trawl,Coos Bay,2.166666667,242.0166667,2.141666667,47.58333333,12
2011,Trawl,Eureka,1.9375,224,2.46875,52.5,8
2011,Trawl,Fort Bragg,2.166666667,301.1666667,2.22,44.16666667,6
2011,Trawl,Monterey and Morro Bay,2,255.6666667,3.8,75,3
2011,Trawl,Newport,1.875,381.2857143,2.542857143,22.625,9
2011,Trawl,San Francisco and Bodega Bay,1.375,385,2.325,26.66666667,4
2011,Trawl,Washington,2.6,343.4,2.99,82,5
2012,Fixed gear,Astoria and Tillamook,3.5,160,#N/A,57.25,4
2012,Fixed gear,Coos Bay,-999,-999,#N/A,-999,-999
2012,Fixed gear,Fort Bragg,-999,-999,#N/A,-999,-999
2012,Fixed gear,Monterey and Morro Bay,1.75,136.25,#N/A,31.125,9
2012,Fixed gear,Newport,2.666666667,163.3333333,#N/A,51.25,4
2012,Fixed gear,San Francisco and Bodega Bay,-999,-999,#N/A,-999,-999
2012,Fixed gear,Washington,5.25,330.3375,#N/A,74.25,4
2012,Trawl,Astoria and Tillamook,1.882352941,286.7058824,3.511764706,70.64705882,17
2012,Trawl,Brookings and Crescent City,2,315,2,37.75,5
2012,Trawl,Coos Bay,2.166666667,250.075,2.158333333,44.83333333,12
2012,Trawl,Eureka,2.2,196.8,2.07,42,10
2012,Trawl,Fort Bragg,2.6,311.4,2.275,41.8,5
2012,Trawl,Monterey and Morro Bay,1.666666667,215.3333333,3.8,105.5,3
2012,Trawl,Newport,2,427.8571429,2.542857143,27.85714286,7
2012,Trawl,San Francisco and Bodega Bay,1.5,463.3333333,2.166666667,38.33333333,4
2012,Trawl,Washington,2.25,284.25,3.15,109.75,4
2013,Fixed gear,Astoria and Tillamook,4.333333333,179,#N/A,40.66666667,3
2013,Fixed gear,Coos Bay,-999,-999,#N/A,-999,-999
2013,Fixed gear,Fort Bragg,-999,-999,#N/A,-999,-999
2013,Fixed gear,Monterey and Morro Bay,1.5,95.71428571,#N/A,28.33333333,7
2013,Fixed gear,Newport,3,183.3333333,#N/A,43.66666667,3
2013,Fixed gear,San Francisco and Bodega Bay,-999,-999,#N/A,-999,-999
2013,Fixed gear,Washington,-999,-999,#N/A,-999,-999
2013,Trawl,Astoria and Tillamook,1.928571429,258.0714286,4.490909091,98.71428571,14
2013,Trawl,Brookings and Crescent City,2.2,352,2.14,53,5
2013,Trawl,Coos Bay,2.066666667,247.2,2.173333333,34.46666667,15
2013,Trawl,Eureka,2.05,207.8,2.07,55.1,10
2013,Trawl,Fort Bragg,2.166666667,305.1666667,2.283333333,48.33333333,6
2013,Trawl,Monterey and Morro Bay,1.666666667,209.7777778,3.8,82.33333333,3
2013,Trawl,Newport,2,408.8571429,2.642857143,37.71428571,7
2013,Trawl,San Francisco and Bodega Bay,3,563.3333333,2.5,63.66666667,4
2013,Trawl,Washington,2.25,371.25,4.325,67.5,4
