portgrp,SPGRP,GEAR,2009,2010,2011,2012,2013
Astoria and Tillamook,Dover sole,Fixed gear,4,7,-999,4,3
Astoria and Tillamook,Dover sole,Trawl,4,7,4,4,3
Astoria and Tillamook,Flatfish,Fixed gear,7,8,-999,-999,-999
Astoria and Tillamook,Flatfish,Trawl,7,8,4,4,4
Astoria and Tillamook,Other groundfish,Fixed gear,5,6,4,4,-999
Astoria and Tillamook,Other groundfish,Trawl,5,6,4,4,5
Astoria and Tillamook,Pacific whiting,Trawl,-999,6,4,5,4
Astoria and Tillamook,Petrale sole,Fixed gear,-999,4,-999,-999,-999
Astoria and Tillamook,Petrale sole,Trawl,-999,4,2,2,5
Astoria and Tillamook,Rockfish,Fixed gear,7,8,4,5,5
Astoria and Tillamook,Rockfish,Trawl,7,8,4,5,5
Astoria and Tillamook,Sablefish,Fixed gear,7,8,4,4,5
Astoria and Tillamook,Sablefish,Trawl,7,8,4,4,5
Astoria and Tillamook,"Sharks, skates and rays",Fixed gear,6,8,-999,-999,4
Astoria and Tillamook,"Sharks, skates and rays",Trawl,6,8,4,4,4
Astoria and Tillamook,Thornyheads,Fixed gear,5,7,3,4,5
Astoria and Tillamook,Thornyheads,Trawl,5,7,3,4,5
Brookings and Crescent City,Dover sole,Trawl,5,5,5,4,5
Brookings and Crescent City,Flatfish,Trawl,6,5,5,4,5
Brookings and Crescent City,Other groundfish,Trawl,6,7,-999,4,3
Brookings and Crescent City,Pacific whiting,Trawl,4,8,-999,-999,-999
Brookings and Crescent City,Petrale sole,Trawl,5,4,3,3,-999
Brookings and Crescent City,Rockfish,Trawl,7,10,5,4,5
Brookings and Crescent City,Sablefish,Trawl,5,8,5,4,5
Brookings and Crescent City,"Sharks, skates and rays",Trawl,5,7,5,-999,4
Brookings and Crescent City,Thornyheads,Trawl,5,4,5,4,5
Coos Bay,Dover sole,Fixed gear,3,5,-999,-999,-999
Coos Bay,Dover sole,Trawl,3,5,3,3,2
Coos Bay,Flatfish,Fixed gear,4,5,-999,-999,-999
Coos Bay,Flatfish,Trawl,4,5,3,3,-999
Coos Bay,Other groundfish,Fixed gear,4,-999,-999,-999,-999
Coos Bay,Other groundfish,Trawl,4,6,3,3,-999
Coos Bay,Pacific whiting,Trawl,-999,-999,-999,-999,-999
Coos Bay,Petrale sole,Fixed gear,3,4,-999,3,-999
Coos Bay,Petrale sole,Trawl,3,4,3,3,-999
Coos Bay,Rockfish,Fixed gear,4,3,-999,-999,-999
Coos Bay,Rockfish,Trawl,4,3,3,3,-999
Coos Bay,Sablefish,Fixed gear,3,4,-999,-999,-999
Coos Bay,Sablefish,Trawl,3,4,3,3,2
Coos Bay,"Sharks, skates and rays",Fixed gear,5,5,-999,-999,-999
Coos Bay,"Sharks, skates and rays",Trawl,5,5,3,3,-999
Coos Bay,Thornyheads,Fixed gear,3,4,-999,-999,-999
Coos Bay,Thornyheads,Trawl,3,4,3,3,2
Eureka,Dover sole,Trawl,4,3,-999,-999,-999
Eureka,Flatfish,Trawl,3,3,-999,3,5
Eureka,Other groundfish,Trawl,4,3,-999,3,-999
Eureka,Pacific whiting,Trawl,-999,-999,-999,-999,-999
Eureka,Petrale sole,Trawl,4,3,-999,3,4
