SPGRP,GEAR,SPID,CNAME,COMPLEX,COMPLEX2,COMPLEX3,SNAME,YEAR
Rockfish,Trawl,ARR1,NOM. AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2009
Rockfish,Fixed gear,ARR1,NOM. AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2012
Rockfish,Fixed gear,ARR1,NOM. AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2011
Rockfish,Trawl,ARRA,AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES AURORA,2012
Rockfish,Fixed gear,ARRA,AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES AURORA,2011
Rockfish,Fixed gear,ARRA,AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES AURORA,2010
Rockfish,Trawl,ARRA,AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES AURORA,2010
Rockfish,Trawl,ARRA,AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES AURORA,2011
Rockfish,Trawl,ARRA,AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES AURORA,2009
Rockfish,Fixed gear,ARRA,AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES AURORA,2012
Rockfish,Fixed gear,ARRA,AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES AURORA,2009
Petrale sole,Trawl,PTRL,PETRALE SOLE,FLAT,....,....,EOPSETTA JORDANI,2013
Flatfish,Trawl,REX,REX SOLE,FLAT,....,RFLT,GLYPTOCEPHALUS ZACHIRUS,2013
Rockfish,Trawl,POP,PACIFIC OCEAN PERCH,ROCK,....,....,SEBASTES ALUTUS,2013
Flatfish,Fixed gear,ART1,NOM. ARROWTOOTH FLOUNDER,FLAT,TRBT,....,N/A,2012
Flatfish,Trawl,ART1,NOM. ARROWTOOTH FLOUNDER,FLAT,TRBT,....,N/A,2012
Thornyheads,Fixed gear,SSP1,NOM. SHORTSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS SPP.,2013
Flatfish,Trawl,ART1,NOM. ARROWTOOTH FLOUNDER,FLAT,TRBT,....,N/A,2011
Flatfish,Fixed gear,ART1,NOM. ARROWTOOTH FLOUNDER,FLAT,TRBT,....,N/A,2011
Flatfish,Trawl,ART1,NOM. ARROWTOOTH FLOUNDER,FLAT,TRBT,....,N/A,2009
Rockfish,Fixed gear,SNOS,SPLITNOSE ROCKFISH,ROCK,....,NSLP,SEBASTES DIPLOPROA,2013
Rockfish,Fixed gear,DBR1,NOM. DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES SPP.,2013
Dover sole,Fixed gear,DOVR,DOVER SOLE,FLAT,....,....,MICROSTOMUS PACIFICUS,2013
Rockfish,Trawl,YTR1,NOM. YELLOWTAIL ROCKFISH,ROCK,....,....,SEBASTES SPP.,2013
Rockfish,Trawl,STRK,STRIPETAIL ROCKFISH,ROCK,....,NSLF,SEBASTES SAXICOLA,2013
Rockfish,Fixed gear,CLPR,CHILIPEPPER,ROCK,....,NSLF,SEBASTES GOODEI,2013
Rockfish,Trawl,BCAC,BOCACCIO,ROCK,....,NSLF,SEBASTES PAUCISPINIS,2013
Flatfish,Trawl,ARTH,ARROWTOOTH FLOUNDER,FLAT,TRBT,....,ATHERESTHES STOMIAS,2009
Flatfish,Fixed gear,ARTH,ARROWTOOTH FLOUNDER,FLAT,TRBT,....,ATHERESTHES STOMIAS,2012
Flatfish,Fixed gear,ARTH,ARROWTOOTH FLOUNDER,FLAT,TRBT,....,ATHERESTHES STOMIAS,2010
Flatfish,Fixed gear,RSOL,ROCK SOLE,FLAT,....,RFLT,LEPIDOPSETTA BILINEATA,2013
Rockfish,Fixed gear,YEY1,NOM. YELLOWEYE ROCKFISH,ROCK,....,....,SEBASTES SPP.,2013
Flatfish,Trawl,ARTH,ARROWTOOTH FLOUNDER,FLAT,TRBT,....,ATHERESTHES STOMIAS,2010
Flatfish,Trawl,ARTH,ARROWTOOTH FLOUNDER,FLAT,TRBT,....,ATHERESTHES STOMIAS,2011
Flatfish,Fixed gear,ARTH,ARROWTOOTH FLOUNDER,FLAT,TRBT,....,ATHERESTHES STOMIAS,2011
Rockfish,Trawl,PNKR,PINK ROCKFISH,ROCK,....,NSLF,SEBASTES EOS,2013
Flatfish,Trawl,ARTH,ARROWTOOTH FLOUNDER,FLAT,TRBT,....,ATHERESTHES STOMIAS,2012
Flatfish,Fixed gear,REX1,NOM. REX SOLE,FLAT,....,RFLT,N/A,2013
Flatfish,Fixed gear,ARTH,ARROWTOOTH FLOUNDER,FLAT,TRBT,....,ATHERESTHES STOMIAS,2009
Rockfish,Trawl,BANK,BANK ROCKFISH,ROCK,....,NSLP,SEBASTES RUFUS,2011
Rockfish,Trawl,BANK,BANK ROCKFISH,ROCK,....,NSLP,SEBASTES RUFUS,2012
Rockfish,Trawl,BANK,BANK ROCKFISH,ROCK,....,NSLP,SEBASTES RUFUS,2009
Rockfish,Trawl,SLGR,SILVERGREY ROCKFISH,ROCK,....,NSLF,SEBASTES BREVISPINIS,2013
Rockfish,Trawl,BANK,BANK ROCKFISH,ROCK,....,NSLP,SEBASTES RUFUS,2010
Rockfish,Fixed gear,BANK,BANK ROCKFISH,ROCK,....,NSLP,SEBASTES RUFUS,2011
Rockfish,Trawl,BCAC,BOCACCIO,ROCK,....,NSLF,SEBASTES PAUCISPINIS,2011
Rockfish,Trawl,GSRK,GREENSTRIPED ROCKFISH,ROCK,....,NSLF,SEBASTES ELONGATUS,2013
Rockfish,Fixed gear,BCAC,BOCACCIO,ROCK,....,NSLF,SEBASTES PAUCISPINIS,2010
Rockfish,Fixed gear,YMTH,YELLOWMOUTH ROCKFISH,ROCK,....,NSLP,SEBASTES REEDI,2013
Rockfish,Fixed gear,BCAC,BOCACCIO,ROCK,....,NSLF,SEBASTES PAUCISPINIS,2012
Rockfish,Fixed gear,BCAC,BOCACCIO,ROCK,....,NSLF,SEBASTES PAUCISPINIS,2009
Rockfish,Trawl,BCAC,BOCACCIO,ROCK,....,NSLF,SEBASTES PAUCISPINIS,2009
"Sharks, skates and rays",Trawl,BSKT,BIG SKATE,MGRN,SKAT,....,RAJA BINOCULATA,2013
Rockfish,Fixed gear,BCAC,BOCACCIO,ROCK,....,NSLF,SEBASTES PAUCISPINIS,2011
Rockfish,Trawl,BCAC,BOCACCIO,ROCK,....,NSLF,SEBASTES PAUCISPINIS,2010
Rockfish,Trawl,BCAC,BOCACCIO,ROCK,....,NSLF,SEBASTES PAUCISPINIS,2012
Flatfish,Trawl,DSOL,DEEPSEA SOLE,FLAT,....,RFLT,EMBASSICHTHYS BATHYBIUS,2013
Rockfish,Fixed gear,BCC1,NOM. BOCACCIO,ROCK,....,NSLF,SEBASTES SPP.,2010
Rockfish,Trawl,BCC1,NOM. BOCACCIO,ROCK,....,NSLF,SEBASTES SPP.,2011
Rockfish,Fixed gear,BCC1,NOM. BOCACCIO,ROCK,....,NSLF,SEBASTES SPP.,2012
Rockfish,Trawl,BCC1,NOM. BOCACCIO,ROCK,....,NSLF,SEBASTES SPP.,2009
Rockfish,Trawl,BCC1,NOM. BOCACCIO,ROCK,....,NSLF,SEBASTES SPP.,2012
Rockfish,Fixed gear,BCC1,NOM. BOCACCIO,ROCK,....,NSLF,SEBASTES SPP.,2009
Rockfish,Trawl,BCC1,NOM. BOCACCIO,ROCK,....,NSLF,SEBASTES SPP.,2010
Rockfish,Fixed gear,BGL1,NOM. BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2011
Rockfish,Fixed gear,BGL1,NOM. BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2012
Rockfish,Trawl,BGL1,NOM. BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2009
"Sharks, skates and rays",Trawl,DSRK,SPINY DOGFISH,MGRN,SHRK,....,SQUALUS ACANTHIAS,2013
Rockfish,Trawl,BGL1,NOM. BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2012
Rockfish,Trawl,BGL1,NOM. BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2010
Rockfish,Trawl,BLCK,BLACK ROCKFISH,ROCK,....,....,SEBASTES MELANOPS,2009
Rockfish,Trawl,BLCK,BLACK ROCKFISH,ROCK,....,....,SEBASTES MELANOPS,2011
Rockfish,Fixed gear,BLCK,BLACK ROCKFISH,ROCK,....,....,SEBASTES MELANOPS,2012
Rockfish,Fixed gear,BLK1,NOM. BLACK ROCKFISH,ROCK,....,....,SEBASTES SPP.,2013
"Sharks, skates and rays",Fixed gear,BSKT,BIG SKATE,MGRN,SKAT,....,RAJA BINOCULATA,2013
Rockfish,Fixed gear,SBLY,SHORTBELLY ROCKFISH,ROCK,....,....,SEBASTES JORDANI,2013
Rockfish,Trawl,BLCK,BLACK ROCKFISH,ROCK,....,....,SEBASTES MELANOPS,2012
Rockfish,Trawl,BLCK,BLACK ROCKFISH,ROCK,....,....,SEBASTES MELANOPS,2010
Rockfish,Trawl,BLGL,BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTOMUS,2009
Rockfish,Fixed gear,BLGL,BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTOMUS,2010
Rockfish,Trawl,BLGL,BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTOMUS,2011
Rockfish,Fixed gear,BLGL,BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTOMUS,2012
Other groundfish,Trawl,GREN,PACIFIC GRENADIER,....,....,....,CORYPHAENOIDES ACROLEPIS,2013
Rockfish,Fixed gear,ARR1,NOM. AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2013
Rockfish,Fixed gear,BLGL,BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTOMUS,2011
Rockfish,Trawl,BLGL,BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTOMUS,2012
Rockfish,Trawl,NUSR,NOR. UNSP. NEAR-SHORE ROCKFISH,ROCK,....,NSHR,N/A,2013
Rockfish,Trawl,BLGL,BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTOMUS,2010
Rockfish,Fixed gear,BLGL,BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTOMUS,2009
Rockfish,Trawl,BLK1,NOM. BLACK ROCKFISH,ROCK,....,....,SEBASTES SPP.,2009
Rockfish,Fixed gear,BLK1,NOM. BLACK ROCKFISH,ROCK,....,....,SEBASTES SPP.,2011
Rockfish,Trawl,BLK1,NOM. BLACK ROCKFISH,ROCK,....,....,SEBASTES SPP.,2010
Rockfish,Trawl,BLK1,NOM. BLACK ROCKFISH,ROCK,....,....,SEBASTES SPP.,2012
Rockfish,Trawl,BLK1,NOM. BLACK ROCKFISH,ROCK,....,....,SEBASTES SPP.,2011
Rockfish,Trawl,BLU1,NOM. BLUE ROCKFISH,ROCK,....,NSHR,SEBASTES SPP.,2011
Rockfish,Trawl,BNK1,NOM. BANK ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2011
Rockfish,Fixed gear,BNK1,NOM. BANK ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2010
Rockfish,Trawl,BNK1,NOM. BANK ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2012
Rockfish,Trawl,BNK1,NOM. BANK ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2009
Rockfish,Fixed gear,BNK1,NOM. BANK ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2012
Petrale sole,Fixed gear,PTR1,NOM. PETRALE SOLE,FLAT,....,....,N/A,2013
Flatfish,Trawl,SFL1,NOM. STARRY FLOUNDER,FLAT,....,RFLT,N/A,2013
Rockfish,Trawl,BGL1,NOM. BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2013
Rockfish,Trawl,BRW1,NOM. BROWN ROCKFISH,ROCK,....,NSHR,SEBASTES SPP.,2011
Rockfish,Trawl,BRW1,NOM. BROWN ROCKFISH,ROCK,....,NSHR,SEBASTES SPP.,2012
Rockfish,Fixed gear,BRW1,NOM. BROWN ROCKFISH,ROCK,....,NSHR,SEBASTES SPP.,2012
Rockfish,Fixed gear,BRWN,BROWN ROCKFISH,ROCK,....,NSHR,SEBASTES AURICULATUS,2012
Rockfish,Trawl,BRWN,BROWN ROCKFISH,ROCK,....,NSHR,SEBASTES AURICULATUS,2009
Rockfish,Fixed gear,BRZ1,NOM. BRONZESPOTTED ROCKFISH,ROCK,....,NSLF,SEBASTES SPP.,2012
"Sharks, skates and rays",Trawl,BSKT,BIG SKATE,MGRN,SKAT,....,RAJA BINOCULATA,2010
"Sharks, skates and rays",Trawl,BSKT,BIG SKATE,MGRN,SKAT,....,RAJA BINOCULATA,2009
Flatfish,Trawl,EGLS,ENGLISH SOLE,FLAT,....,....,PAROPHRYS VETULUS,2013
Thornyheads,Trawl,LSPN,LONGSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS ALTIVELIS,2013
"Sharks, skates and rays",Fixed gear,BSKT,BIG SKATE,MGRN,SKAT,....,RAJA BINOCULATA,2009
"Sharks, skates and rays",Trawl,BSKT,BIG SKATE,MGRN,SKAT,....,RAJA BINOCULATA,2011
Rockfish,Fixed gear,YTR1,NOM. YELLOWTAIL ROCKFISH,ROCK,....,....,SEBASTES SPP.,2013
"Sharks, skates and rays",Trawl,BSKT,BIG SKATE,MGRN,SKAT,....,RAJA BINOCULATA,2012
"Sharks, skates and rays",Fixed gear,BSKT,BIG SKATE,MGRN,SKAT,....,RAJA BINOCULATA,2012
Pacific whiting,Fixed gear,PWHT,PACIFIC WHITING,ROND,....,....,MERLUCCIUS PRODUCTUS,2013
Other groundfish,Fixed gear,LCOD,LINGCOD,ROND,....,....,OPHIODON ELONGATUS,2013
Rockfish,Fixed gear,WDOW,WIDOW ROCKFISH,ROCK,....,....,SEBASTES ENTOMELAS,2013
Flatfish,Trawl,BSOL,BUTTER SOLE,FLAT,....,RFLT,ISOPSETTA ISOLEPIS,2010
Flatfish,Trawl,BSOL,BUTTER SOLE,FLAT,....,RFLT,ISOPSETTA ISOLEPIS,2011
Rockfish,Trawl,YTRK,YELLOWTAIL ROCKFISH,ROCK,....,....,SEBASTES FLAVIDUS,2013
Flatfish,Trawl,SSOL,SAND SOLE,FLAT,....,RFLT,PSETTICHTHYS MELANOSTICTUS,2013
Rockfish,Fixed gear,NUSF,NOR. UNSP. SHELF ROCKFISH,ROCK,....,NSLF,N/A,2013
Thornyheads,Fixed gear,LSPN,LONGSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS ALTIVELIS,2013
Flatfish,Fixed gear,BSOL,BUTTER SOLE,FLAT,....,RFLT,ISOPSETTA ISOLEPIS,2012
Flatfish,Trawl,BSOL,BUTTER SOLE,FLAT,....,RFLT,ISOPSETTA ISOLEPIS,2012
Flatfish,Trawl,BSOL,BUTTER SOLE,FLAT,....,RFLT,ISOPSETTA ISOLEPIS,2009
Rockfish,Trawl,CLPR,CHILIPEPPER,ROCK,....,NSLF,SEBASTES GOODEI,2013
Rockfish,Trawl,BSPR,BLACKSPOTTED ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTICTUS,2011
Rockfish,Trawl,BSPR,BLACKSPOTTED ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTICTUS,2009
Rockfish,Fixed gear,BSPR,BLACKSPOTTED ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTICTUS,2011
Rockfish,Fixed gear,BSPR,BLACKSPOTTED ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTICTUS,2012
Rockfish,Trawl,RDB1,NOM. REDBANDED ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2013
Rockfish,Trawl,GSPT,GREENSPOTTED ROCKFISH,ROCK,....,NSLF,SEBASTES CHLOROSTICTUS,2013
Rockfish,Trawl,BSPR,BLACKSPOTTED ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTICTUS,2012
Rockfish,Trawl,BSPR,BLACKSPOTTED ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTICTUS,2010
Other groundfish,Trawl,CBZN,CABEZON,ROND,....,....,SCORPAENICHTHYS MARMORATUS,2010
Other groundfish,Trawl,LCD1,NOM. LINGCOD,ROND,....,....,OPHIODON SPP.,2013
Rockfish,Fixed gear,SLGR,SILVERGREY ROCKFISH,ROCK,....,NSLF,SEBASTES BREVISPINIS,2013
Other groundfish,Trawl,CBZN,CABEZON,ROND,....,....,SCORPAENICHTHYS MARMORATUS,2009
Rockfish,Fixed gear,CLP1,NOM. CHILIPEPPER,ROCK,....,NSLF,SEBASTES SPP.,2011
Rockfish,Fixed gear,CLP1,NOM. CHILIPEPPER,ROCK,....,NSLF,SEBASTES SPP.,2010
Rockfish,Trawl,CLP1,NOM. CHILIPEPPER,ROCK,....,NSLF,SEBASTES SPP.,2009
