SPGRP,portgrp,GEAR,2009,2010,2011,2012,2013,2014
Dover sole,Astoria and Tillamook,Fixed gear,0,0,-999,92,250,319
Dover sole,Astoria and Tillamook,Trawl,6553756,5949680,4690021,3612357,4700254,3786027
Dover sole,Brookings and Crescent City,Fixed gear,0,0,0,0,0,-999
Dover sole,Brookings and Crescent City,Trawl,2711042.259,2044493.261,1596182.81,1495280,1789375,1813216
Dover sole,Coos Bay,Fixed gear,0,0,-999,-999,-999,0
Dover sole,Coos Bay,Trawl,-999,4001688,2428084,2208644,1520910,-999
Dover sole,Eureka,Fixed gear,0,0,0,0,0,-999
Dover sole,Eureka,Trawl,3376712.584,3166273,-999,-999,-999,-999
Dover sole,Fort Bragg,Fixed gear,0,0,0,0,0,-999
Dover sole,Fort Bragg,Trawl,1443611.96,1359667.378,1137368.438,868372.0373,872021.7068,914692.56
Dover sole,Monterey and Morro Bay,Fixed gear,0,-999,-999,3907,1150,330
Dover sole,Monterey and Morro Bay,Trawl,42959.4062,-999,-999,1171385.664,320422.4887,421319.77
Dover sole,Newport,Fixed gear,0,0,-999,-999,-999,-999
Dover sole,Newport,Trawl,-999,-999,-999,-999,1513458,1284424
Dover sole,San Francisco and Bodega Bay,Fixed gear,0,0,-999,-999,-999,0
Dover sole,San Francisco and Bodega Bay,Trawl,497055.3902,509170,340440,-999,-999,-999
Dover sole,Washington,Fixed gear,0,0,503.001,-999,-999,-999
Dover sole,Washington,Trawl,1956817.69,1586310.21,1154645.45,1117130.79,749997.9336,-999
Flatfish,Astoria and Tillamook,Fixed gear,0,0,-999,-999,-999,-999
Flatfish,Astoria and Tillamook,Trawl,4830884,3801477,2809666,1594277,2012921,1322528
Flatfish,Brookings and Crescent City,Fixed gear,0,0,0,0,0,-999
Flatfish,Brookings and Crescent City,Trawl,179554.7411,128030.7389,234228.1904,117578,212844,167485
Flatfish,Coos Bay,Fixed gear,0,0,-999,-999,0,0
Flatfish,Coos Bay,Trawl,-999,799257,352854,466919,-999,-999
Flatfish,Eureka,Trawl,201875.1702,-999,-999,-999,-999,-999
Flatfish,Fort Bragg,Fixed gear,0,0,0,0,0,-999
Flatfish,Fort Bragg,Trawl,42388.0401,17929.6218,44190.6043,68769.5007,100900.8819,57450.24
Flatfish,Monterey and Morro Bay,Fixed gear,0,0,-999,-999,-999,0
Flatfish,Monterey and Morro Bay,Trawl,13594.8107,-999,59263.0558,30196.626,24982.3481,39462.23
Flatfish,Newport,Fixed gear,0,0,152,159,-999,0
Flatfish,Newport,Trawl,-999,-999,137816,198514,423200,-999
Flatfish,San Francisco and Bodega Bay,Trawl,31482.5738,25384,2514,0,-999,-999
Flatfish,Washington,Fixed gear,0,0,265,-999,-999,-999
Flatfish,Washington,Trawl,1707332.4,1269335.429,887119.1,764919.16,389517.9798,-999
Other groundfish,Astoria and Tillamook,Fixed gear,0,0,2678,-999,-999,-999
Other groundfish,Astoria and Tillamook,Trawl,-999,85287,96613,-999,118193,43461
Other groundfish,Brookings and Crescent City,Fixed gear,0,0,0,0,0,-999
Other groundfish,Brookings and Crescent City,Trawl,19792,20088,-999,39553,9758,3416
Other groundfish,Coos Bay,Fixed gear,0,0,-999,-999,0,0
Other groundfish,Coos Bay,Trawl,-999,91178,53815,59090,-999,-999
Other groundfish,Eureka,Trawl,-999,-999,-999,-999,-999,-999
Other groundfish,Fort Bragg,Fixed gear,0,0,-999,0,0,-999
Other groundfish,Fort Bragg,Trawl,32466,42249,6834.202,10699.2,21636,16271
Other groundfish,Monterey and Morro Bay,Fixed gear,0,-999,-999,-999,254,1803
Other groundfish,Monterey and Morro Bay,Trawl,-999,-999,-999,-999,68316,36930
Other groundfish,Newport,Fixed gear,0,0,802,672.5,-999,0
Other groundfish,Newport,Trawl,10787,-999,895,3730,-999,842
Other groundfish,San Francisco and Bodega Bay,Trawl,237,-999,-999,0,-999,-999
Other groundfish,Washington,Fixed gear,0,0,-999,3280,-999,-999
Other groundfish,Washington,Trawl,30250,-999,-999,41898,27374,-999
Pacific whiting,Astoria and Tillamook,Trawl,-999,-999,-999,-999,-999,-999
Pacific whiting,Brookings and Crescent City,Trawl,0,0,-999,-999,-999,-999
Pacific whiting,Coos Bay,Trawl,0,-999,-999,-999,-999,-999
Pacific whiting,Eureka,Trawl,-999,-999,-999,-999,-999,-999
Pacific whiting,Fort Bragg,Trawl,0,0,-999,-999,-999,-999
Pacific whiting,Monterey and Morro Bay,Trawl,0,0,0,-999,-999,3990
Pacific whiting,Newport,Trawl,0,-999,-999,-999,-999,-999
Pacific whiting,San Francisco and Bodega Bay,Trawl,0,0,0,0,-999,-999
Pacific whiting,Washington,Trawl,-999,-999,-999,-999,-999,-999
Petrale sole,Astoria and Tillamook,Fixed gear,0,0,-999,-999,-999,-999
Petrale sole,Astoria and Tillamook,Trawl,-999,299936,310956,183589,650652,517276
Petrale sole,Brookings and Crescent City,Trawl,126193,67397,46753,31320,79116,148539
Petrale sole,Coos Bay,Fixed gear,0,0,-999,0,0,0
Petrale sole,Coos Bay,Trawl,-999,138237,68120,140707,-999,-999
Petrale sole,Eureka,Trawl,230167.2456,-999,-999,-999,-999,-999
Petrale sole,Fort Bragg,Fixed gear,0,0,0,0,0,-999
Petrale sole,Fort Bragg,Trawl,179418,44916,65822.9614,21757.462,86506.4113,141023.2
Petrale sole,Monterey and Morro Bay,Fixed gear,0,0,0,-999,-999,-999
Petrale sole,Monterey and Morro Bay,Trawl,13784.7831,-999,38601.0535,34474.8444,53527.1632,86044
Petrale sole,Newport,Fixed gear,0,0,0,-999,0,-999
Petrale sole,Newport,Trawl,-999,-999,-999,51130,-999,278737
Petrale sole,San Francisco and Bodega Bay,Fixed gear,0,0,-999,-999,0,-999
Petrale sole,San Francisco and Bodega Bay,Trawl,27540.036,32205,-999,-999,-999,-999
Petrale sole,Washington,Fixed gear,0,0,-999,-999,-999,-999
Petrale sole,Washington,Trawl,170198,43335,93465,74875,99375.8566,-999
Rockfish,Astoria and Tillamook,Fixed gear,0,0,1793,9158,6128,-999
Rockfish,Astoria and Tillamook,Trawl,262315.0083,326939.0198,246983.0069,160356.6955,265278.1755,185761.952
Rockfish,Brookings and Crescent City,Fixed gear,0,0,0,0,0,-999
Rockfish,Brookings and Crescent City,Trawl,20201.54714,33481.3728,14792,4409.056299,23877.74203,-999
Rockfish,Coos Bay,Fixed gear,0,0,-999,-999,0,0
Rockfish,Coos Bay,Trawl,-999,-999,50713.60406,50350,-999,-999
Rockfish,Eureka,Trawl,-999,-999,-999,-999,-999,-999
Rockfish,Fort Bragg,Fixed gear,0,0,-999,-999,0,-999
Rockfish,Fort Bragg,Trawl,386929,358580.06,141489.5399,171003.7068,305379.7463,176552.44
Rockfish,Monterey and Morro Bay,Fixed gear,920,9810.9496,2956,13779.7,33423,-999
Rockfish,Monterey and Morro Bay,Trawl,56348,-999,68106.8792,93148.5963,64213,142248.77
Rockfish,Newport,Fixed gear,0,0,14742.4595,10815,-999,-999
Rockfish,Newport,Trawl,-999,-999,21483.60131,34946.58241,97354.09896,73144.07271
Rockfish,San Francisco and Bodega Bay,Fixed gear,0,0,-999,-999,-999,-999
Rockfish,San Francisco and Bodega Bay,Trawl,78977,87087,8715,-999,-999,-999
Rockfish,Washington,Fixed gear,0,0,2725.4379,19165.44,-999,-999
Rockfish,Washington,Trawl,81839.5012,68058.4007,170043.0514,172584.3462,70147.6141,-999
Sablefish,Astoria and Tillamook,Fixed gear,0,0,94032.2,544181.6,256965,168010.8
Sablefish,Astoria and Tillamook,Trawl,1557213,1364282.8,912376,479433,619577,337151.6
Sablefish,Brookings and Crescent City,Fixed gear,0,0,0,0,0,-999
