YEAR,GEAR,portgrp,TotRev,VarCostNetRev,TotCostNetRev
2009,Fixed gear,Monterey and Morro Bay,-999,-999,-999
2009,Trawl,Astoria and Tillamook,265768.1304,118513.087,41345.82609
2009,Trawl,Brookings and Crescent City,225963.5,105598.4167,47296.91667
2009,Trawl,Coos Bay,220322.2667,108619.8,40903.46667
2009,Trawl,Eureka,333741.8,143891,42480
2009,Trawl,Fort Bragg,317021.1429,148518,68100.85714
2009,Trawl,Monterey and Morro Bay,122050.3333,50679,-151284.3333
2009,Trawl,Newport,219022.6316,111269.7895,53424.47368
2009,Trawl,San Francisco and Bodega Bay,179998.3333,62312.33333,-17133
2009,Trawl,Washington,267278.25,124645,17856.125
2010,Fixed gear,Monterey and Morro Bay,157017.2,95578.8,67561
2010,Trawl,Astoria and Tillamook,283202.8571,115505.619,61333.71429
2010,Trawl,Brookings and Crescent City,221109.7778,100786.1111,42693.44444
2010,Trawl,Coos Bay,234578.9375,110811.9375,30180.4375
2010,Trawl,Eureka,319308.8,136293.3,35838.2
2010,Trawl,Fort Bragg,273019.5714,117437.1429,63039
2010,Trawl,Monterey and Morro Bay,-999,-999,-999
2010,Trawl,Newport,206173.375,94522.875,26344.1875
2010,Trawl,San Francisco and Bodega Bay,110451.75,28739.25,-5402
2010,Trawl,Washington,155203.125,52804.125,-10590.875
2011,Fixed gear,Astoria and Tillamook,-999,-999,-999
2011,Fixed gear,Coos Bay,-999,-999,-999
2011,Fixed gear,Fort Bragg,-999,-999,-999
2011,Fixed gear,Monterey and Morro Bay,215187.9,118988.4,-13677.2
2011,Fixed gear,Newport,482247.2,286834.2,174752.2
2011,Fixed gear,San Francisco and Bodega Bay,-999,-999,-999
2011,Fixed gear,Washington,478269.25,202657,-83614.75
2011,Trawl,Astoria and Tillamook,363615.6875,171690.0625,101028.9375
2011,Trawl,Brookings and Crescent City,273475.7143,129949.8571,85523.85714
2011,Trawl,Coos Bay,264082.3,115059.7,30309.8
2011,Trawl,Eureka,407048.75,178106,86241.25
2011,Trawl,Fort Bragg,315184.8333,122690.5,60906.66667
2011,Trawl,Monterey and Morro Bay,312617,147570.3333,34625
2011,Trawl,Newport,170716.5714,60133.71429,-2872.714286
2011,Trawl,San Francisco and Bodega Bay,100989,60146.66667,30835.33333
2011,Trawl,Washington,445744.75,218898.25,120744.5
2012,Fixed gear,Astoria and Tillamook,387224.5,203726,114860.25
2012,Fixed gear,Coos Bay,-999,-999,-999
2012,Fixed gear,Fort Bragg,-999,-999,-999
2012,Fixed gear,Monterey and Morro Bay,117950.1111,30568.33333,-50010.44444
2012,Fixed gear,Newport,288057,150876.25,75101.75
2012,Fixed gear,San Francisco and Bodega Bay,-999,-999,-999
2012,Fixed gear,Washington,270799.25,129203,7304.25
2012,Trawl,Astoria and Tillamook,233070.5,104413.5,44799.35714
2012,Trawl,Brookings and Crescent City,298864,134264,62444.2
2012,Trawl,Coos Bay,236807.9,102324.7,28070
2012,Trawl,Eureka,315860.1111,122843,22490.22222
2012,Trawl,Fort Bragg,260070.2,103209.4,-196580.8
2012,Trawl,Monterey and Morro Bay,330540.6667,132707.3333,66156
2012,Trawl,Newport,212868.8333,39228.66667,-65443.16667
2012,Trawl,San Francisco and Bodega Bay,-999,-999,-999
2012,Trawl,Washington,355808.2,180236.4,91474.2
2013,Fixed gear,Astoria and Tillamook,274371.3333,152187.3333,79645.33333
2013,Fixed gear,Coos Bay,-999,-999,-999
2013,Fixed gear,Fort Bragg,-999,-999,-999
2013,Fixed gear,Monterey and Morro Bay,80348.75,7611.25,-36460
2013,Fixed gear,Newport,335515,177794.3333,127089
2013,Fixed gear,San Francisco and Bodega Bay,-999,-999,-999
2013,Fixed gear,Washington,-999,-999,-999
2013,Trawl,Astoria and Tillamook,389212.3846,178142.4615,109110.0769
2013,Trawl,Brookings and Crescent City,299292.6,113127.8,16283.4
2013,Trawl,Coos Bay,138942.0833,51925.16667,16105
2013,Trawl,Eureka,328515.4444,132248.3333,66296.44444
2013,Trawl,Fort Bragg,256726,93054.33333,43487.66667
2013,Trawl,Monterey and Morro Bay,263866.6667,91618.66667,43316
2013,Trawl,Newport,328164.1667,182108.3333,121909.5
2013,Trawl,San Francisco and Bodega Bay,-999,-999,-999
2013,Trawl,Washington,198604.5,82449.5,8746
2014,Fixed gear,Astoria and Tillamook,-999,-999,-999
2014,Fixed gear,Brookings and Crescent City,-999,-999,-999
2014,Fixed gear,Fort Bragg,-999,-999,-999
2014,Fixed gear,Monterey and Morro Bay,222993,113640.25,78016.25
2014,Fixed gear,Newport,-999,-999,-999
2014,Fixed gear,San Francisco and Bodega Bay,-999,-999,-999
2014,Fixed gear,Washington,277617.6667,158276.1667,98165.5
2014,Trawl,Astoria and Tillamook,305864.0833,145160,80767.66667
2014,Trawl,Brookings and Crescent City,389961.6,178258.8,75222.2
2014,Trawl,Coos Bay,118027.75,48643.375,25667.5
2014,Trawl,Eureka,367418.375,155456.125,35295.125
2014,Trawl,Fort Bragg,286256.5,112890.6667,44653.83333
2014,Trawl,Monterey and Morro Bay,330059.3333,115076.3333,68607.33333
2014,Trawl,Newport,411313,187645,112162.8
2014,Trawl,San Francisco and Bodega Bay,-999,-999,-999
2014,Trawl,Washington,-999,-999,-999
