SPGRP,portgrp,GEAR,2009,2010,2011,2012,2013,2014
Dover sole,Astoria and Tillamook,Fixed gear,0,0,-999,43.08,121.9,130.15
Dover sole,Astoria and Tillamook,Trawl,2174936.985,1873162.292,1896073.9,1527227.101,2086002.69,1720570.63
Dover sole,Brookings and Crescent City,Fixed gear,0,0,0,0,0,-999
Dover sole,Brookings and Crescent City,Trawl,915851.9749,629445.9662,662327.6899,644971.39,802969.78,812892.64
Dover sole,Coos Bay,Fixed gear,0,0,-999,-999,-999,0
Dover sole,Coos Bay,Trawl,-999,1146345.904,996851.708,910003.35,707880.55,-999
Dover sole,Eureka,Fixed gear,0,0,0,0,0,-999
Dover sole,Eureka,Trawl,1244197.608,1017902.216,-999,-999,-999,-999
Dover sole,Fort Bragg,Fixed gear,0,0,0,0,0,-999
Dover sole,Fort Bragg,Trawl,535088.8127,403848.7096,508019.7005,384413.1026,391663.1827,409034.0276
Dover sole,Monterey and Morro Bay,Fixed gear,0,-999,-999,6628.287,537.09,154.48
Dover sole,Monterey and Morro Bay,Trawl,15464.5339,-999,-999,381343.1291,126780.1163,190756.5297
Dover sole,Newport,Fixed gear,0,0,-999,-999,-999,-999
Dover sole,Newport,Trawl,-999,-999,-999,-999,667590.02,564349.9
Dover sole,San Francisco and Bodega Bay,Fixed gear,0,0,-999,-999,-999,0
Dover sole,San Francisco and Bodega Bay,Trawl,183062.3809,154861.05,153183,-999,-999,-999
Dover sole,Washington,Fixed gear,0,0,138.21,-999,-999,-999
Dover sole,Washington,Trawl,595555.309,453918.416,386457.69,465678.52,304634.5179,-999
Flatfish,Astoria and Tillamook,Fixed gear,0,0,-999,-999,-999,-999
Flatfish,Astoria and Tillamook,Trawl,550524.114,419573.35,314680.54,222575.4,275427.9,166675.31
Flatfish,Brookings and Crescent City,Fixed gear,0,0,0,0,0,-999
Flatfish,Brookings and Crescent City,Trawl,53466.93209,33564.51384,52186.27213,29864.519,54324.944,50820.376
Flatfish,Coos Bay,Fixed gear,0,0,-999,-999,0,0
Flatfish,Coos Bay,Trawl,-999,129612.761,68851.69,94253.06,-999,-999
Flatfish,Eureka,Trawl,46857.54426,-999,-999,-999,-999,-999
Flatfish,Fort Bragg,Fixed gear,0,0,0,0,0,-999
Flatfish,Fort Bragg,Trawl,14834.58726,6108.114361,12743.32158,12364.85143,18408.64973,13136.57444
Flatfish,Monterey and Morro Bay,Fixed gear,0,0,-999,-999,-999,0
Flatfish,Monterey and Morro Bay,Trawl,6195.053815,-999,30828.93778,14823.45715,10068.4264,18526.3773
Flatfish,Newport,Fixed gear,0,0,15.78,22.06,-999,0
Flatfish,Newport,Trawl,-999,-999,17684.08,29503.66,74517.6,-999
Flatfish,San Francisco and Bodega Bay,Trawl,13820.71106,12717.09,1557.96,0,-999,-999
Flatfish,Washington,Fixed gear,0,0,101.81,-999,-999,-999
Flatfish,Washington,Trawl,181501.65,133359.3196,100622.72,113844.27,54242.02079,-999
Other groundfish,Astoria and Tillamook,Fixed gear,0,0,2566,-999,-999,-999
Other groundfish,Astoria and Tillamook,Trawl,-999,46495.06,55564.9,-999,80675.05,27630.3
Other groundfish,Brookings and Crescent City,Fixed gear,0,0,0,0,0,-999
Other groundfish,Brookings and Crescent City,Trawl,4713.9,3069,-999,4616.301,1641.97,2044.35
Other groundfish,Coos Bay,Fixed gear,0,0,-999,-999,0,0
Other groundfish,Coos Bay,Trawl,-999,16074.9,6961.7,7345,-999,-999
Other groundfish,Eureka,Trawl,-999,-999,-999,-999,-999,-999
Other groundfish,Fort Bragg,Fixed gear,0,0,-999,0,0,-999
Other groundfish,Fort Bragg,Trawl,24883.73,40007.31,2697.65745,8534.39,7871.79,9069.35
Other groundfish,Monterey and Morro Bay,Fixed gear,0,-999,-999,-999,79.43,861.671
Other groundfish,Monterey and Morro Bay,Trawl,-999,-999,-999,-999,17264.62,11662.46
Other groundfish,Newport,Fixed gear,0,0,739.4,439.4,-999,0
