Year,Subregion,Species,Total ABC,OY-Total Catch,Commercial OY-Total Catch,LimitedEntry-MT,LimitedEntry-percent,OpenAccess-MT,OpenAccess-Percentage
1995,,Arrowtooth flounder,5800,,,,,,
1996,,Arrowtooth flounder,5800,,,,,,
1997,,Arrowtooth flounder,5800,,,,,,
1998,,Arrowtooth flounder,5800,,,,,,
1999,,Arrowtooth flounder,5800,,,,,,
2000,,Arrowtooth flounder,5800,,,,,,
2001,,Arrowtooth flounder,5800,,,,,,
2002,,Arrowtooth flounder,5800,,,,,,
2003,,Arrowtooth flounder,5800,,,,,,
2004,,Arrowtooth flounder,5800,,,,,,
2005,,Arrowtooth flounder,5800,5800,,,,,
2006,,Arrowtooth flounder,5800,5800,,,,,
2007,,Arrowtooth flounder,5800,5800,,,,,
2008,,Arrowtooth flounder,5800,5800,,,,,
2009,,Arrowtooth flounder,11267,11267,,,,,
2010,,Arrowtooth flounder,10112,10112,,,,,
1997,,Bank rockfish,81,,,,,,
1998,,Bank rockfish,81,,,,,,
1999,,Bank rockfish,81,,,,,,
2000,,Bank rockfish,81,,,,,,
2001,,Bank rockfish,350,,,,,,
2002,,Bank rockfish,350,,,,,,
2003,,Bank rockfish,350,,,,,,
2004,,Bank rockfish,350,,,,,,
2005,,Bank rockfish,350,,,,,,
2006,,Bank rockfish,350,,,,,,
2007,,Bank rockfish,350,,,,,,
2008,,Bank rockfish,350,,,,,,
2009,,Bank rockfish,350,,,,,,
2010,,Bank rockfish,350,,,,,,
2000,,Black rockfish,1200,,,,,,
2001,,Black rockfish,1115,,,,,,
2002,,Black rockfish,1115,,,,,,
2003,,Black rockfish,1115,,,,,,
2004,,Black rockfish,1315,1315,,,,,
2005,north,Black rockfish,540,540,,,,,
2005,south,Black rockfish,753,753,,,,,
2006,north,Black rockfish,540,540,,,,,
2006,south,Black rockfish,736,736,,,,,
2007,north,Black rockfish,540,540,,,,,
2007,south,Black rockfish,722,722,,,,,
2008,north,Black rockfish,540,540,,,,,
2008,south,Black rockfish,722,722,,,,,
2009,north,Black rockfish,490,490,,,,,
2009,south,Black rockfish,1469,1000,,,,,
2010,north,Black rockfish,464,464,,,,,
2010,south,Black rockfish,1317,1000,,,,,
1999,,Blackgill,365,,,,,,
2000,,Blackgill,440,,,,,,
2001,,Blackgill,,,,,,,
2002,,Blackgill,343,,,,,,
2003,,Blackgill,343,,,,,,
2004,,Blackgill,343,,,,,,
2005,,Blackgill,343,,,,,,
2006,,Blackgill,343,,,,,,
2007,,Blackgill,292,,,,,,
2008,,Blackgill,292,,,,,,
2009,,Blackgill,292,,,,,,
2010,,Blackgill,292,,,,,,
2009,,Blue,241,,,,,,
2010,,Blue,239,,,,,,
1995,,Bocaccio rockfish,1700,,,1010,67.4,490,32.6
1996,,Bocaccio rockfish,1700,,,1010,67.4,490,32.6
1997,south,Bocaccio rockfish,265,,,224,67.4,108,32.6
1997,north,Bocaccio rockfish,424,,,,,,
1998,south,Bocaccio rockfish,230,,,128,67.4,57,32.6
1998,north,Bocaccio rockfish,424,,,,,,
1999,,Bocaccio rockfish,230,230,150,101,67.4,49,32.6
1999,north,Bocaccio rockfish,424,,,,,,
2000,south,Bocaccio rockfish,164,100,55,31,55.7,24,44.3
2000,north,Bocaccio rockfish,1200,,,,,,
2001,south,Bocaccio rockfish,122,100,52,29,55.7,23,44.3
2001,north,Bocaccio rockfish,318,,,,,,
2002,south,Bocaccio rockfish,122,100,44,25,55.7,19,44.3
2002,north,Bocaccio rockfish,318,,,,,,
2003,south,Bocaccio rockfish,198,20,14,8,52.7,6,44.3
2003,north,Bocaccio rockfish,318,,,,,,
2004,south,Bocaccio rockfish,400,250,108.5,,52.7,,44.3
2004,north,Bocaccio rockfish,318,,,,,,
2005,south,Bocaccio rockfish,566,307,85.2,,52.7,,44.3
2005,north,Bocaccio rockfish,318,,,,,,
2006,south,Bocaccio rockfish,549,308,75.2,,52.7,,44.3
2006,north,Bocaccio rockfish,318,,,,,,
2007,south,Bocaccio rockfish,602,218,80.2,,55.7,,44.3
2007,north,Bocaccio rockfish,318,,,,,,
2008,south,Bocaccio rockfish,602,218,80.2,,,,
2008,north,Bocaccio rockfish,318,,,,,,
2009,south,Bocaccio rockfish,793,288,206.4,,55.7,,44.3
2009,north,Bocaccio rockfish,318,,,,,,
2010,south,Bocaccio rockfish,793,288,206.4,,55.7,,44.3
2010,north,Bocaccio rockfish,318,,,,,,
2005,south,Cabezon,103,69,69,,,,
2006,south,Cabezon,108,69,,,,,
2007,south,Cabezon,94,69,27,,,,
2008,south,Cabezon,94,69,27,,,,
2009,south,Cabezon,106,69,,,,,
2010,south,Cabezon,111,79,,,,,
2008,,California scorpionfish,219,175,34,,,,
2009,,California scorpionfish,175,175,,,,,
2010,,California scorpionfish,155,155,,,,,
1995,,Canary rockfish,1250,,,780,91.2,70,8.8
1996,,Canary rockfish,1250,,,780,91.2,70,8.8
1997,north,Canary rockfish,1220,,,912,91.2,90,8.8
1997,south,Canary rockfish,85,,,,,,
1998,north,Canary rockfish,1045,,,953,91.2,90,8.8
1998,south,Canary rockfish,85,,,,,,
1999,,Canary rockfish,1045,857,807,736,91.2,71,8.8
1999,south,Canary rockfish,85,,,,,,
2000,,Canary rockfish,287,200,120,105,87.7,15,12.3
2001,,Canary rockfish,228,93,44,39,87.7,5,12.3
2002,,Canary rockfish,228,93,44,39,87.7,5,12.3
2003,,Canary rockfish,272,44,23,20,87.7,2.8,12.3
2004,,Canary rockfish,256,47.3,24.2,,87.7,12.3,
2005,,Canary rockfish,270,46.8,24.8,,87.7,,12.3
2006,,Canary rockfish,270,47.1,22.7,,87.7,12.3,
2007,,Canary rockfish,172,44,23.8,,87.7,,12.3
2008,,Canary rockfish,172,44,23.8,,,,
2009,,Canary rockfish,937,105,42.3,,87.7,,12.3
2010,,Canary rockfish,940,105,42.3,,87.7,,12.3
2000,north,Chilipepper,43,,,,,,
2001,north,Chilipepper,32,,,,,,
2002,north,Chilipepper,32,,,,,,
2003,north,Chilipepper,32,,,,,,
2004,north,Chilipepper,32,,,,,,
2005,north,Chilipepper,32,,,,,,
2006,north,Chilipepper,32,,,,,,
2007,north,Chilipepper,32,,,,,,
2008,north,Chilipepper,32,,,,,,
2009,north,Chilipepper,32,,,,,,
2010,north,Chilipepper,32,,,,,,
1995,,Chilipepper rockfish,4000,,,,,,
1996,,Chilipepper rockfish,4000,,,,,,
1997,,Chilipepper rockfish,4000,,,,,,
1998,,Chilipepper rockfish,3400,,,,,,
1999,,Chilipepper rockfish,3724,3724,3651,2461,67.4,1190,32.6
2000,,Chilipepper rockfish,3681,2000,1955,1089,55.7,866,44.3
2001,,Chilipepper rockfish,2700,2000,1985,1106,55.7,879,44.3
2002,,Chilipepper rockfish,2700,2000,1985,1106,55.7,879,44.3
2003,,Chilipepper rockfish,2700,2000,1985,1106,55.7,879,44.3
2004,,Chilipepper rockfish,2700,2000,1985,1106,55.7,879,44.3
2005,,Chilipepper rockfish,2700,2000,1973,1099,55.7,874,44.3
2006,,Chilipepper rockfish,2700,2000,1964,1094,55.7,870,44.3
2007,,Chilipepper rockfish,2700,2000,1114,,55.7,886,44.3
2008,,Chilipepper rockfish,2700,2000,,,,,
2009,,Chilipepper rockfish,3037,2885,2885,1607,55.7,1278,44.3
2010,,Chilipepper rockfish,2576,2447,2447,1363,55.7,1084,44.3
2000,south,Cowcod rockfish,24,5,5,,,,
2001,south,Cowcod rockfish,19,2.4,0,,,,
2002,south,Cowcod rockfish,19,2.4,0,,,,
2003,south,Cowcod rockfish,24,4.8,0,,,,
