IFQ species category,Total catch,Allocation,Attainment
Arrowtooth flounder,"5,554,275","27,406,105",20.30%
Bocaccio rockfish South of 40°10' N.,"11,715","132,277",8.90%
Canary rockfish,"8,125","57,100",14.20%
Chilipepper rockfish South of 40°10' N.,"688,187","3,252,370",21.20%
Cowcod South of 40°10' N.,39,"3,968",1.00%
Darkblotched rockfish,"200,112","552,997",36.20%
Dover sole,"17,281,316","49,018,682",35.30%
English sole,"302,830","41,166,808",0.70%
Lingcod,"638,978","4,107,873",15.60%
Longspine thornyheads North of 34°27' N.,"2,120,963","4,334,839",48.90%
Minor shelf rockfish North of 40°10' N.,"32,964","1,150,813",2.90%
Minor shelf rockfish South of 40°10' N.,"6,633","189,598",3.50%
Minor slope rockfish North of 40°10' N.,"320,493","1,828,779",17.50%
Minor slope rockfish South of 40°10' N.,"113,870","831,958",13.70%
Other flatfish,"1,525,761","9,253,683",16.50%
Pacific cod,"556,691","2,502,247",22.20%
Pacific halibut (IBQ) North of 40°10' N.,"81,772","257,524",31.80%
Pacific ocean perch North of 40°10' N.,"101,379","263,148",38.50%
Pacific whiting,"201,109,988","204,628,442",98.30%
Petrale sole,"1,789,067","1,920,226",93.20%
Sablefish North of 36° N.,"5,288,465","5,613,719",94.20%
Sablefish South of 36° N.,"1,012,188","1,170,390",86.50%
Shortspine thornyheads North of 34°27' N.,"1,575,026","3,156,138",49.90%
Shortspine thornyheads South of 34°27' N.,"18,644","110,231",16.90%
Splitnose rockfish South of 40°10' N.,"88,050","3,045,245",2.90%
Starry flounder,"25,934","1,471,586",1.80%
Widow rockfish,"303,699","755,348",40.20%
Yelloweye rockfish,128,"1,323",9.70%
Yellowtail rockfish North of 40°10' N.,"1,629,184","6,821,455",23.90%
Total,"242,386,476","375,004,872",64.60%
