"year","strat","sablefish"
"2003","A",49019692.1555853
"2004","A",25765633.0913784
"2005","A",22240544.1534268
"2006","A",18728070.0148344
"2007","A",18097186.5114103
"2008","A",14823157.3673873
"2009","A",12799457.6758067
"2010","A",17121196.6840052
"2011","A",15390729.0736907
"2012","A",11611264.5741923
"2013","A",12913026.3189167
"2014","A",15009989.9970417
"2003","B",43661351.0671494
"2004","B",38833620.1632453
"2005","B",27977168.9441029
"2006","B",35747594.5235579
"2007","B",24488907.3145826
"2008","B",20836090.8229002
"2009","B",18136362.2657876
"2010","B",21651126.8022186
"2011","B",20750123.5547068
"2012","B",23374837.7821152
"2013","B",21037105.6532121
"2014","B",20566976.1074482
"2003","C",33307670.4508268
"2004","C",40970446.8789694
"2005","C",32261082.9299516
"2006","C",31015663.6774538
"2007","C",29133670.8168538
"2008","C",21068843.0500844
"2009","C",23397269.7989627
"2010","C",16930496.8585359
"2011","C",29793231.0749841
"2012","C",24421413.0080207
"2013","C",29834698.77106
"2014","C",36907166.3222291
"2003","D",15121869.3253975
"2004","D",21571591.1504065
"2005","D",15217861.0530202
"2006","D",16563267.6565207
"2007","D",19354593.7449301
"2008","D",9072419.10653214
"2009","D",9184647.6137376
"2010","D",12155836.5853445
"2011","D",7548121.72183391
"2012","D",9251586.81739631
"2013","D",11915167.5426256
"2014","D",9789071.30357737
